gene_name,TCGA-02-2485-01,TCGA-06-0125-01,TCGA-06-0129-01,TCGA-06-0130-01,TCGA-06-0190-01,TCGA-06-0238-01,TCGA-06-0644-01,TCGA-06-0878-01,TCGA-06-0882-01,TCGA-06-1804-01,TCGA-06-2557-01,TCGA-06-2558-01,TCGA-06-2559-01,TCGA-06-2562-01,TCGA-06-2563-01,TCGA-06-2564-01,TCGA-06-2565-01,TCGA-06-2567-01,TCGA-06-2570-01,TCGA-06-5408-01,TCGA-06-5410-01,TCGA-06-5411-01,TCGA-06-5412-01,TCGA-06-5413-01,TCGA-06-5414-01,TCGA-06-5415-01,TCGA-06-5416-01,TCGA-06-5417-01,TCGA-06-5418-01,TCGA-06-5856-01,TCGA-06-5858-01,TCGA-06-5859-01,TCGA-08-0386-01,TCGA-12-1597-01,TCGA-12-3652-01,TCGA-12-3653-01,TCGA-12-5295-01,TCGA-14-0871-01,TCGA-14-1823-01,TCGA-16-0846-01,TCGA-19-1390-01,TCGA-19-2619-01,TCGA-19-2620-01,TCGA-19-4065-01,TCGA-19-5960-01,TCGA-26-1442-01,TCGA-26-5132-01,TCGA-26-5133-01,TCGA-26-5134-01,TCGA-27-1830-01,TCGA-27-1831-01,TCGA-27-1832-01,TCGA-27-1834-01,TCGA-28-1747-01,TCGA-28-5208-01,TCGA-32-1970-01,TCGA-32-1982-01,TCGA-32-5222-01,TCGA-41-3915-01,TCGA-41-4097-01,TCGA-41-5651-01,TCGA-76-4926-01,TCGA-76-4927-01,TCGA-76-4928-01,TCGA-76-4929-01,TCGA-76-4931-01,TCGA-76-4932-01
ACSBG1,3.29,5.4683,3.4817,0.4967,4.4384,2.3048,2.6579,3.4687,4.8002,3.3206,4.3772,3.4583,4.5479,5.6479,6.9455,5.0166,6.3886,1.4859,4.4013,4.1036,3.3364,4.2862,4.4771,2.77,6.4316,5.3463,5.0687,1.9527,3.3759,4.6628,3.0654,4.1433,3.573,3.5815,5.2788,6.5471,3.8033,-0.5332,1.0079,4.7066,2.9032,5.327,5.0527,2.7117,3.4894,3.8064,3.3647,6.3987,1.9931,1.8484,3.9099,0.4447,1.9073,5.0679,5.464,4.585,4.2973,3.2496,2.2206,4.3862,2.7889,3.6961,4.2929,2.4035,2.4857,4.9151,5.7674
ACSBG2,-1.2142,-2.2447,-2.0529,-2.9324,-2.3147,-3.6259,-4.6082,-0.7834,-3.0469,-0.8339,-3.6259,-4.6082,-1.7809,-2.1779,-2.114,-3.1714,-1.7809,-2.4659,-3.0469,-4.035,-3.1714,-3.0469,-3.6259,-1.9379,-2.1779,-0.5756,-4.035,-2.4659,-3.3076,-2.3884,-1.7809,-3.6259,-2.8262,-4.035,-5.0116,-3.458,-9.9658,-0.9406,-4.2934,-6.5064,-1.2142,-5.0116,-3.458,-3.0469,-2.3147,-2.3884,-3.3076,-1.1488,-1.2828,-2.8262,-2.4659,-0.8339,-2.2447,-5.0116,-2.9324,-2.5479,-1.7809,-2.9324,-1.9379,-1.9942,-1.8314,-2.8262,-2.9324,-5.0116,-4.035,-1.3183,-9.9658
ACSL1,3.5124,3.4048,4.4364,4.8525,5.2888,4.5047,4.2541,4.1595,4.533,3.6184,4.1788,4.1002,4.506,4.215,3.3464,4.2196,2.8936,4.0497,4.1555,3.0944,6.1711,4.6977,6.1344,4.1194,4.4945,3.1669,3.0411,2.7073,4.2631,3.5959,4.9084,4.3449,3.5136,4.3583,2.0742,3.3061,4.7236,3.1717,3.8289,4.523,4.5355,3.2988,4.4516,4.8739,2.7763,2.2513,3.7486,2.0776,3.1637,5.0704,3.4464,5.0845,3.8228,4.7138,3.3938,3.2251,4.6623,4.4384,4.8535,4.2243,3.603,3.4291,4.2017,3.9892,4.0189,3.1327,3.1588
ACSL3,5.6352,6.3397,4.3068,4.6933,5.6194,4.1161,6.1633,5.954,5.4598,4.9519,6.002,4.3944,5.3562,5.8169,6.6113,5.878,6.2359,5.0492,3.8136,6.8456,4.7814,4.7613,5.8854,5.8153,5.488,5.9923,4.3292,4.6525,5.4912,5.935,5.9472,5.4545,4.8022,4.0575,6.0442,6.8857,6.6826,4.8939,4.2721,4.6938,5.298,7.0968,5.2899,5.588,5.0233,4.8565,5.2791,4.8788,4.327,4.4842,5.3565,4.8525,5.0409,5.43,6.392,5.9203,6.0609,5.6764,4.1716,6.3145,4.2196,5.5088,5.353,5.7043,4.4149,5.6144,5.7377
ACSL4,2.5313,2.6161,3.6172,4.5429,3.186,3.2158,3.7825,3.0671,3.2722,3.335,3.0411,3.3856,3.0127,3.2189,2.2813,2.9413,2.6441,2.9488,2.982,2.6579,4.096,3.4958,3.6324,3.4088,2.8819,2.6602,3.7625,3.1079,2.8117,2.8779,3.5224,3.2557,3.1829,2.7594,2.4675,2.6533,3.2251,1.7532,4.1939,2.4985,2.6533,2.3077,3.0163,3.7539,2.1638,3.1733,2.4117,2.6624,2.1734,3.0074,3.6782,3.0637,3.1924,2.9729,3.1844,2.3019,2.909,3.3605,3.208,3.3856,3.0376,2.6984,2.4779,3.2929,2.9375,2.6487,2.0878
ACSL5,1.9377,0.9935,1.9034,3.2796,1.4859,1.4441,1.8801,2.043,2.6067,2.2513,2.2753,1.7828,1.4859,1.6187,2.0912,2.2573,1.4756,2.4985,1.7786,0.9038,2.8622,1.7053,2.5061,2.2421,1.8119,1.5115,0.4657,0.3573,0.7407,1.8564,1.4388,2.7572,1.3109,1.1833,0.346,3.055,2.2144,0.434,1.4281,2.6738,0.688,1.2516,2.4359,2.2082,0.547,1.7744,1.9377,0.7493,-0.394,1.4065,1.816,2.6325,2.1638,2.4623,1.7954,1.8323,2.7742,2.1345,1.4335,1.8444,0.8568,2.0844,1.5709,1.2576,1.4441,1.0293,1.1833
ACSL6,-0.0131999999999998,-1.3492000000000002,0.1969,-3.0146,-1.3458,-4.0159,-2.84275,-0.99195,-1.1696,-0.6554500000000001,-0.4439499999999998,0.2879,0.1095499999999998,0.14355,-1.0151,-1.3939499999999998,-1.267,-0.6951,-0.67425,-1.3259,-4.45425,-3.03325,-1.22445,-0.2906999999999999,-4.1063,-3.64265,-3.51695,-3.0484,-3.79075,0.3892500000000001,-4.1642,0.7702499999999999,-3.8788,-4.152699999999999,-4.3632,-0.8663000000000001,-0.8637999999999999,-5.67895,0.3614000000000001,0.4234,0.2816499999999999,0.0614999999999998,-3.8588,-0.0740999999999999,0.1761499999999998,0.6913,-2.33705,-4.0312,-4.32165,-1.05995,-0.8149,-0.54965,0.8628500000000001,-1.4223,-4.5045,-0.2368000000000001,-1.20815,-2.0700000000000003,-2.0208,-0.2751000000000001,-3.65855,-0.7865999999999997,-1.4407,-2.09245,-0.9128,-0.5481499999999999,-1.50595
ACTA2,4.3104,6.9675,3.4251,7.8986,7.5562,5.4555,6.4486,5.6851,5.6424,4.1692,4.8299,6.5955,5.554,7.0334,5.3699,5.9096,5.064,6.1777,6.1316,5.4595,6.2356,6.7973,6.2067,7.1621,4.3931,6.1144,7.5013,4.8475,6.0888,6.831,7.6337,4.5485,5.802,5.6183,4.431,3.8601,4.7893,4.8131,5.5717,4.6566,6.6758,5.6369,6.4725,6.0525,3.5136,8.9379,5.8478,5.8912,5.4303,6.6799,5.2736,6.0599,5.2969,4.0841,6.8259,4.6697,7.1561,6.1663,7.4786,6.3388,5.4503,4.8963,7.8392,6.6779,6.0191,4.4496,4.5886
ACTB,11.5845,11.9805,11.1709,12.3232,12.4096,12.0925,12.3619,11.936,11.7776,10.7431,11.8489,11.5241,11.8323,12.1613,11.6323,12.0602,11.1411,11.3231,11.6175,11.5105,11.9825,11.4995,12.1031,11.5506,12.0093,11.1605,11.3725,10.6398,12.1953,11.4816,11.8334,11.094,11.8348,11.3888,11.2077,11.4784,11.8962,11.4889,11.9788,11.8396,12.0263,12.1365,11.7796,11.8417,10.4641,11.564,11.7084,11.6726,11.0358,12.039,12.5946,11.7743,11.7442,11.7474,11.3417,11.3926,11.8459,11.8235,11.8322,11.6176,11.3092,11.6237,11.8685,12.0742,11.1157,11.5505,11.8091
ACTG1,11.0557,11.0561,10.3323,10.18,11.31,10.6288,11.0167,10.9819,10.5524,10.3056,10.0646,10.4184,10.4436,11.306,10.6518,10.4342,10.7043,10.7297,10.8002,10.9716,10.7845,10.6592,10.6243,10.5753,11.6527,10.2264,11.1774,10.3392,11.0932,10.9654,10.7113,10.1349,10.9161,10.7362,10.4158,10.1625,11.1588,11.2964,10.3678,10.3181,11.7974,10.9557,11.1435,10.787,10.8794,9.6603,10.9949,10.8707,10.2404,10.6106,10.6629,10.8426,10.8241,10.7306,11.0502,10.3136,10.9423,10.4027,11.592,11.3748,10.9352,10.4758,10.7026,11.1252,10.4831,10.7331,10.808
ACVR1,3.8187,3.5547,3.3787,4.7507,3.9691,3.0995,5.2518,4.1343,3.8269,3.3134,3.6555,3.9356,3.7794,3.4739,3.8064,3.837,3.9709,3.449,3.8167,3.7226,3.6905,3.5899,4.1668,3.637,3.2282,3.4752,3.5035,3.6428,3.4371,3.9947,3.8993,3.8401,4.001,3.1797,2.2633,3.6077,3.5161,4.5559,3.8739,3.6612,2.9544,3.3675,3.2267,3.7496,3.8259,4.041,3.6623,4.1261,2.4908,3.8471,3.4371,3.1749,4.1772,3.7656,3.3675,3.8778,3.7992,3.5274,3.7971,4.1716,3.8239,3.6827,3.7171,3.1733,3.6635,3.1011,2.9032
ACVR1B,3.1813,3.1971,3.345,2.7868,3.2143,3.0533,2.3536,3.4517,3.4304,2.7657,3.1426,3.4765,3.5199,3.5827,2.9581,3.4183,3.2297,2.9243,3.7646,3.5547,3.0145,3.6737,2.9338,3.0568,3.5473,3.4765,3.3535,3.1245,3.3759,2.6647,3.3717,3.1112,3.2856,3.4556,2.1606,3.3675,2.4908,2.6984,3.1162,3.2587,3.8218,3.7421,2.9984,3.1491,3.1813,3.8198,2.1766,3.5596,2.108,3.1572,1.105,2.9911,3.2466,3.222,3.027,3.2174,2.7763,2.7051,3.4517,3.1145,3.4504,3.5249,3.2096,3.5994,3.449,3.2405,3.055
ACVR1C,-3.0469,-4.6082,-4.2934,-3.6259,-2.9324,-2.8262,-5.5735,-4.6082,-1.8314,0.4967,-2.4659,-1.8314,-3.1714,-2.8262,-2.114,-3.3076,-4.6082,-0.394,-2.6349,-6.5064,-3.458,-0.3383,-2.3884,-4.2934,-6.5064,-2.0529,-2.3884,-4.035,-4.6082,-4.6082,-4.6082,0.537,-0.3752,-1.9942,-6.5064,-9.9658,-9.9658,-4.2934,-4.035,-2.7274,-3.0469,-3.458,-2.8262,-4.2934,-1.4699,-1.3548,-0.9406,-3.0469,-3.6259,-2.7274,-5.5735,-2.0529,-1.4699,-2.3147,-4.6082,-1.0862,-2.1779,-4.6082,-4.2934,-2.6349,-2.8262,-0.8084,-4.035,-6.5064,-3.3076,-2.7274,-6.5064
ACVR2A,1.7954,1.9527,2.5924,2.2237,1.8282,2.0878,1.5266,1.949,1.3283,1.5514,2.0147,2.5363,1.7489,1.683,1.1706,1.4335,1.9675,1.5216,2.8137,1.5902,1.0079,2.0147,1.1382,2.0878,1.1706,1.6466,2.5413,2.7657,1.2875,1.8078,1.1897,1.6558,1.4704,1.9188,0.8082,1.7702,1.6327,2.1862,1.7532,1.7532,2.4063,1.2756,1.0007,1.934,2.0707,1.3167,1.0151,2.4386,1.3397,1.8444,0.9568,1.3623,1.6695,1.2992,1.8444,1.2934,1.2636,1.0711,1.3791,1.6234,2.9747,1.2992,1.1512,1.4065,2.1925,2.0147,1.6512
ACVR2B,0.0854,0.2762,2.2753,-1.5522,-0.8863,0.03,-1.1172,-0.8084,-0.4521,0.5568,0.5568,0.2029,0.3573,-0.3752,-0.4325,0.4447,0.5568,-0.0425,1.2394,0.5568,-1.5951,-0.7108,-1.3921,-0.5125,-0.6193,0.4125,-0.013,1.9302,-0.2671,-0.1665,-0.5332,-1.1488,-0.1187,-0.4521,-0.1504,-0.4521,-1.1488,2.1798,-1.8836,-0.2159,1.4547,0.7493,-0.0877,-0.4325,2.1378,1.2815,0.2277,0.679,0.1257,0.7146,-1.5522,-0.5973,0.517,-0.2328,-0.4521,0.0014,-1.2142,-1.3183,0.24,0.0014,1.8363,-0.0574,-0.4325,-0.5756,0.537,0.4125,-0.013
ADAM17,3.728,4.0304,4.0773,3.6242,3.773,2.3953,4.1078,4.1612,3.3221,3.9901,4.208,3.7992,3.7825,4.0064,3.8788,4.1563,4.1169,4.3292,3.2915,3.2541,3.3221,2.9857,3.6816,3.9874,3.9204,3.7678,3.0358,4.6793,3.8837,3.5498,3.9561,3.6983,4.0082,2.2633,3.1344,4.0225,3.5161,2.9893,3.7667,3.0927,3.2526,4.1676,3.2065,3.3061,4.0558,2.9729,2.7551,4.1939,2.1702,3.8993,2.7401,2.96,3.9261,3.7017,4.0064,3.637,3.3535,4.0375,3.7193,3.837,2.9729,3.4583,3.6428,3.4856,5.2717,3.8085,4.0985
ADCY1,-1.7322,2.0844,0.5859,1.0503,0.1388,0.7579,-0.9971,0.7999,0.9642,1.2455,1.6327,0.8568,3.8501,1.4547,2.05,2.2051,1.7185,-0.4325,0.9115,1.2576,-0.2328,2.6828,-1.3921,1.4547,1.3397,2.0183,0.3907,0.9935,-0.2845,0.8164,0.6239,0.4016,3.0411,2.8994,0.2642,3.1228,1.6964,-0.0725,-1.685,0.4016,-0.7834,2.727,0.2029,0.0014,2.4386,1.2209,0.7493,0.2522,-0.2498,0.6145,1.7316,-1.5105,-0.7834,0.6332,2.5087,2.9338,0.4865,-1.6394,0.044,0.517,2.0844,1.2455,0.0718,1.3956,-1.5951,2.036,1.5316
ADCY10,-4.2934,-4.035,-2.6349,-3.1714,-3.6259,-2.2447,-3.816,-3.6259,-2.6349,-2.8262,-4.6082,-2.3884,-2.9324,-3.816,-4.035,-3.3076,-3.458,-3.458,-2.0529,-3.458,-4.035,-2.9324,-4.035,-5.0116,-3.458,-6.5064,-3.0469,-2.114,-3.3076,-1.8836,-5.0116,-4.2934,-3.1714,-6.5064,-3.6259,-5.5735,-2.2447,-4.035,-9.9658,-4.6082,-1.5522,-4.2934,-5.0116,-3.458,-4.6082,-4.6082,-3.1714,-6.5064,-4.6082,-2.7274,-2.6349,-2.3884,-5.5735,-4.2934,-4.035,-5.5735,-4.6082,-4.6082,-2.8262,-4.6082,-2.4659,-5.5735,-5.5735,-5.5735,-3.816,-5.5735,-3.6259
ADCY2,5.1907,1.8762,5.2434,2.118,3.4945,3.6486,3.1588,2.3019,4.7571,6.029,5.5151,5.0981,2.3337,3.417,1.7828,2.2113,4.6183,4.2396,5.796,4.585,3.6382,4.4575,2.6371,5.1478,4.0515,4.6832,1.8363,6.5785,4.0269,4.4277,4.2639,7.5687,4.8289,4.2457,1.4388,1.3901,3.5791,4.423,5.2215,4.8719,3.1011,5.0674,5.5008,2.0325,5.6479,7.5744,3.1971,5.6851,3.0533,5.8405,2.609,3.6006,5.4115,4.1804,3.9356,5.5277,2.2573,1.8242,4.9566,5.0348,4.0136,5.5491,4.0064,4.2899,6.6348,4.8233,3.992
ADCY3,3.4648,4.6012,4.8724,4.4823,5.0072,3.2781,4.8415,4.7581,4.3702,4.9127,4.6804,4.1302,4.6224,4.9896,4.3716,4.7661,4.4135,5.0304,4.3931,4.8699,4.6999,4.4067,4.2578,4.4615,4.5342,4.1078,3.7561,3.3076,4.2373,3.9185,4.7746,4.8079,5.1306,3.871,3.6184,5.018,3.9496,5.2743,3.7971,4.1595,4.7592,4.38,4.3709,4.8079,3.6335,3.755,4.4277,4.4324,3.3911,4.4417,3.9552,5.1676,3.9204,4.4169,4.1219,5.0981,4.6832,3.795,4.6854,4.4777,4.5614,4.5589,4.6606,4.47,5.1371,4.7576,4.1652
ADCY4,1.0433,1.2455,1.2455,2.0289,1.4281,0.2029,-0.1504,0.6517,1.4704,1.8683,1.4281,2.2421,1.6604,1.8957,1.9302,2.3508,2.667,0.7146,1.9415,0.1388,1.4441,0.9038,1.7575,1.3567,1.1706,1.6281,0.044,0.4233,0.1648,1.2209,1.3511,0.537,1.1706,-0.2159,-0.7834,1.1447,0.24,0.1257,-0.4719,0.6608,0.9038,1.2934,0.9642,0.8805,-0.1993,2.1013,2.0535,0.6425,-0.9406,1.7617,-0.1993,0.537,1.4011,1.0007,0.8082,1.6964,3.2435,0.7058,1.6512,1.3109,0.6517,-0.3022,1.3846,0.346,0.2998,1.3454,0.4552
ADCY5,1.1117,1.6875,2.9052,-0.5125,1.4174,1.3511,0.03,0.434,2.3451,1.5563,1.9968,2.0004,1.3735,1.7702,0.4865,1.0915,1.0433,0.605,2.7051,0.9115,2.4571,3.4596,-1.0262,0.8246,0.1124,1.1512,3.2435,2.3564,0.2029,1.2209,1.7617,-0.8084,1.0293,2.6783,-1.685,-2.3884,-0.7588,1.2696,-2.3884,1.816,3.7226,1.196,2.3926,-0.0425,2.2513,3.2722,0.3685,2.2237,1.4756,1.7617,-3.6259,-0.4521,1.9786,1.5266,0.346,1.196,0.8883,-0.1345,2.2633,1.5013,3.4648,1.125,2.8137,0.5763,2.496,1.9675,-0.7346
ADCY6,3.4344,4.4713,4.1053,3.2435,3.4088,2.3106,2.6464,3.492,3.0893,4.4162,3.8167,3.4264,3.7475,3.5742,3.8896,3.9838,4.6142,3.4817,4.0055,3.4464,2.4571,3.1377,2.7249,2.8137,3.2158,3.8759,2.8321,2.9032,3.7475,2.7487,3.6623,2.8562,2.6873,2.4805,2.7314,3.0791,1.9931,3.5086,2.6325,2.3451,4.3148,3.4881,2.7993,2.9507,3.1162,3.9079,2.8502,3.4156,2.8381,3.5947,1.9564,3.1162,3.2034,3.0876,3.1685,3.506,3.5449,2.3564,3.5199,3.8157,2.6715,3.1572,3.2811,3.3321,3.3105,4.7608,3.0163
ADCY7,0.688,1.692,3.9645,3.7561,2.4439,1.2085,2.727,2.1147,2.7139,2.7227,3.5149,2.3135,2.2723,1.9931,1.2576,2.6019,2.0325,2.9148,2.9637,1.4011,3.4344,2.036,2.7095,1.8801,2.4597,1.2455,1.2333,0.9343,2.1247,2.1247,2.8502,2.5313,1.6374,0.6332,-1.5951,1.8444,0.4657,0.2154,0.8327,1.196,1.9034,1.6512,0.8246,2.1638,1.6281,2.5437,1.105,1.6466,1.1447,1.8484,-1.5522,1.2209,2.6895,2.1606,1.1117,1.6045,2.0218,1.766,2.4985,3.0074,1.7702,1.196,1.5661,1.8036,2.8542,1.6093,1.2085
ADCY8,0.3907,0.9038,2.4359,2.1638,2.1574,1.1897,-3.3076,1.2756,1.7912,5.0027,3.5584,3.2796,3.9534,1.9675,-1.3921,3.0637,3.162,5.5826,3.417,2.3048,1.8996,1.334,0.7999,3.2707,1.2516,2.9319,3.2002,3.2722,3.7378,3.5911,2.167,3.6566,4.7645,3.8228,2.3592,0.1648,-0.8863,3.5982,-0.5543,3.4183,1.3283,4.3896,3.9487,0.9493,3.7877,3.2236,4.2103,1.9073,2.5536,2.3564,1.4494,3.6793,2.7931,2.1345,2.1411,3.9468,2.8321,0.4016,1.2696,2.4386,3.4437,0.6699,1.6512,1.4911,2.7742,4.2389,3.4765
