Gene_num,Gene_name,NodeType
144,ATXN1L-Geno,Gene-Geno
145,AVP-Geno,Gene-Geno
146,AVPR1A-Geno,Gene-Geno
147,AVPR1B-Geno,Gene-Geno
148,AVPR2-Geno,Gene-Geno
149,AXIN1-Geno,Gene-Geno
150,AXIN2-Geno,Gene-Geno
151,AZI2-Geno,Gene-Geno
152,BAD-Geno,Gene-Geno
153,BAG4-Geno,Gene-Geno
154,BAMBI-Geno,Gene-Geno
155,BAX-Geno,Gene-Geno
156,BBC3-Geno,Gene-Geno
157,BCAR1-Geno,Gene-Geno
158,BCL10-Geno,Gene-Geno
159,BCL2-Geno,Gene-Geno
160,BCL2A1-Geno,Gene-Geno
161,BCL2L1-Geno,Gene-Geno
162,BCL2L11-Geno,Gene-Geno
163,BCL3-Geno,Gene-Geno
164,BCL6-Geno,Gene-Geno
165,BDKRB1-Geno,Gene-Geno
166,BDKRB2-Geno,Gene-Geno
167,BDNF-Geno,Gene-Geno
168,BECN1-Geno,Gene-Geno
169,BECN2-Geno,Gene-Geno
170,BEX3-Geno,Gene-Geno
171,BID-Geno,Gene-Geno
172,BIRC2-Geno,Gene-Geno
173,BIRC3-Geno,Gene-Geno
174,BIRC5-Geno,Gene-Geno
175,BLNK-Geno,Gene-Geno
176,BMP2-Geno,Gene-Geno
177,BMP4-Geno,Gene-Geno
178,BMP5-Geno,Gene-Geno
179,BMP6-Geno,Gene-Geno
180,BMP7-Geno,Gene-Geno
181,BMP8A-Geno,Gene-Geno
182,BMP8B-Geno,Gene-Geno
183,BMPR1A-Geno,Gene-Geno
184,BMPR1B-Geno,Gene-Geno
185,BMPR2-Geno,Gene-Geno
186,BNIP3-Geno,Gene-Geno
187,BOC-Geno,Gene-Geno
188,BORCS8-MEF2B-Geno,Gene-Geno
189,BRAF-Geno,Gene-Geno
190,BRAP-Geno,Gene-Geno
191,BRCA1-Geno,Gene-Geno
192,BRCC3-Geno,Gene-Geno
193,BTC-Geno,Gene-Geno
194,BTK-Geno,Gene-Geno
195,BTRC-Geno,Gene-Geno
196,BUB1B-PAK6-Geno,Gene-Geno
197,CAB39-Geno,Gene-Geno
198,CAB39L-Geno,Gene-Geno
199,CACNA1C-Geno,Gene-Geno
200,CACNA1D-Geno,Gene-Geno
201,CACNA1F-Geno,Gene-Geno
202,CACNA1S-Geno,Gene-Geno
203,CACNA2D1-Geno,Gene-Geno
204,CACNA2D2-Geno,Gene-Geno
205,CACNA2D3-Geno,Gene-Geno
206,CACNA2D4-Geno,Gene-Geno
207,CACNB1-Geno,Gene-Geno
208,CACNB2-Geno,Gene-Geno
209,CACNB3-Geno,Gene-Geno
210,CACNB4-Geno,Gene-Geno
211,CACNG1-Geno,Gene-Geno
212,CACNG2-Geno,Gene-Geno
213,CACNG3-Geno,Gene-Geno
214,CACNG4-Geno,Gene-Geno
215,CACNG5-Geno,Gene-Geno
216,CACNG6-Geno,Gene-Geno
217,CACNG7-Geno,Gene-Geno
218,CACNG8-Geno,Gene-Geno
219,CACYBP-Geno,Gene-Geno
220,CALM1-Geno,Gene-Geno
221,CALM2-Geno,Gene-Geno
222,CALM3-Geno,Gene-Geno
223,CALML3-Geno,Gene-Geno
224,CALML4-Geno,Gene-Geno
225,CALML5-Geno,Gene-Geno
226,CALML6-Geno,Gene-Geno
227,CAMK1-Geno,Gene-Geno
228,CAMK1D-Geno,Gene-Geno
229,CAMK1G-Geno,Gene-Geno
230,CAMK2A-Geno,Gene-Geno
231,CAMK2B-Geno,Gene-Geno
232,CAMK2D-Geno,Gene-Geno
233,CAMK2G-Geno,Gene-Geno
234,CAMK4-Geno,Gene-Geno
235,CAMKK2-Geno,Gene-Geno
236,CAMP-Geno,Gene-Geno
237,CARD10-Geno,Gene-Geno
238,CARD11-Geno,Gene-Geno
239,CARD14-Geno,Gene-Geno
240,CARD16-Geno,Gene-Geno
241,CARD17-Geno,Gene-Geno
242,CARD18-Geno,Gene-Geno
243,CARD6-Geno,Gene-Geno
244,CARD8-Geno,Gene-Geno
245,CARD9-Geno,Gene-Geno
246,CASP1-Geno,Gene-Geno
247,CASP10-Geno,Gene-Geno
248,CASP12-Geno,Gene-Geno
249,CASP3-Geno,Gene-Geno
250,CASP4-Geno,Gene-Geno
251,CASP5-Geno,Gene-Geno
252,CASP7-Geno,Gene-Geno
253,CASP8-Geno,Gene-Geno
254,CASP9-Geno,Gene-Geno
255,CASQ1-Geno,Gene-Geno
256,CASQ2-Geno,Gene-Geno
257,CASR-Geno,Gene-Geno
258,CASTOR1-Geno,Gene-Geno
259,CASTOR2-Geno,Gene-Geno
260,CAT-Geno,Gene-Geno
261,CBL-Geno,Gene-Geno
262,CBLB-Geno,Gene-Geno
263,CCKAR-Geno,Gene-Geno
264,CCKBR-Geno,Gene-Geno
265,CCL1-Geno,Gene-Geno
266,CCL11-Geno,Gene-Geno
267,CCL13-Geno,Gene-Geno
268,CCL14-Geno,Gene-Geno
269,CCL15-Geno,Gene-Geno
270,CCL16-Geno,Gene-Geno
271,CCL17-Geno,Gene-Geno
272,CCL18-Geno,Gene-Geno
273,CCL19-Geno,Gene-Geno
274,CCL2-Geno,Gene-Geno
275,CCL20-Geno,Gene-Geno
276,CCL21-Geno,Gene-Geno
277,CCL22-Geno,Gene-Geno
278,CCL23-Geno,Gene-Geno
279,CCL24-Geno,Gene-Geno
280,CCL25-Geno,Gene-Geno
281,CCL26-Geno,Gene-Geno
282,CCL27-Geno,Gene-Geno
283,CCL28-Geno,Gene-Geno
284,CCL3-Geno,Gene-Geno
285,CCL3L1-Geno,Gene-Geno
286,CCL3L3-Geno,Gene-Geno
287,CCL4-Geno,Gene-Geno
288,CCL4L1-Geno,Gene-Geno
289,CCL4L2-Geno,Gene-Geno
290,CCL5-Geno,Gene-Geno
291,CCL7-Geno,Gene-Geno
292,CCL8-Geno,Gene-Geno
293,CCN2-Geno,Gene-Geno
294,CCNA1-Geno,Gene-Geno
295,CCNA2-Geno,Gene-Geno
296,CCNB1-Geno,Gene-Geno
297,CCNB2-Geno,Gene-Geno
298,CCNB3-Geno,Gene-Geno
299,CCND1-Geno,Gene-Geno
300,CCND2-Geno,Gene-Geno
301,CCND3-Geno,Gene-Geno
302,CCNE1-Geno,Gene-Geno
303,CCNE2-Geno,Gene-Geno
304,CCNG1-Geno,Gene-Geno
305,CCNG2-Geno,Gene-Geno
306,CCR1-Geno,Gene-Geno
307,CCR10-Geno,Gene-Geno
308,CCR2-Geno,Gene-Geno
309,CCR3-Geno,Gene-Geno
310,CCR4-Geno,Gene-Geno
311,CCR5-Geno,Gene-Geno
312,CCR6-Geno,Gene-Geno
313,CCR7-Geno,Gene-Geno
314,CCR8-Geno,Gene-Geno
315,CCR9-Geno,Gene-Geno
316,CD14-Geno,Gene-Geno
317,CD19-Geno,Gene-Geno
318,CD209-Geno,Gene-Geno
319,CD22-Geno,Gene-Geno
320,CD247-Geno,Gene-Geno
321,CD28-Geno,Gene-Geno
322,CD36-Geno,Gene-Geno
323,CD38-Geno,Gene-Geno
324,CD3E-Geno,Gene-Geno
325,CD4-Geno,Gene-Geno
326,CD40-Geno,Gene-Geno
327,CD40LG-Geno,Gene-Geno
328,CD72-Geno,Gene-Geno
329,CD79A-Geno,Gene-Geno
330,CD79B-Geno,Gene-Geno
331,CD80-Geno,Gene-Geno
332,CD82-Geno,Gene-Geno
333,CD86-Geno,Gene-Geno
334,CD8A-Geno,Gene-Geno
335,CD8B-Geno,Gene-Geno
336,CD8B2-Geno,Gene-Geno
337,CDC25B-Geno,Gene-Geno
338,CDC37-Geno,Gene-Geno
339,CDC42-Geno,Gene-Geno
340,CDH1-Geno,Gene-Geno
341,CDK1-Geno,Gene-Geno
342,CDK2-Geno,Gene-Geno
343,CDK4-Geno,Gene-Geno
344,CDK6-Geno,Gene-Geno
345,CDKN1A-Geno,Gene-Geno
346,CDKN1B-Geno,Gene-Geno
347,CDKN2A-Geno,Gene-Geno
348,CDKN2B-Geno,Gene-Geno
349,CDKN2D-Geno,Gene-Geno
350,CDON-Geno,Gene-Geno
351,CEBPB-Geno,Gene-Geno
352,CER1-Geno,Gene-Geno
353,CFLAR-Geno,Gene-Geno
354,CFTR-Geno,Gene-Geno
355,CGA-Geno,Gene-Geno
356,CHAD-Geno,Gene-Geno
357,CHD8-Geno,Gene-Geno
358,CHEK1-Geno,Gene-Geno
359,CHEK2-Geno,Gene-Geno
360,CHRD-Geno,Gene-Geno
361,CHRM1-Geno,Gene-Geno
362,CHRM2-Geno,Gene-Geno
363,CHRM3-Geno,Gene-Geno
364,CHRM5-Geno,Gene-Geno
365,CHUK-Geno,Gene-Geno
366,CIR1-Geno,Gene-Geno
367,CISH-Geno,Gene-Geno
368,CLEC1B-Geno,Gene-Geno
369,CLEC4D-Geno,Gene-Geno
370,CLEC4E-Geno,Gene-Geno
371,CLEC4M-Geno,Gene-Geno
372,CLEC6A-Geno,Gene-Geno
373,CLEC7A-Geno,Gene-Geno
374,CLIP1-Geno,Gene-Geno
375,CNR1-Geno,Gene-Geno
376,CNTF-Geno,Gene-Geno
377,CNTFR-Geno,Gene-Geno
378,COL1A1-Geno,Gene-Geno
379,COL1A2-Geno,Gene-Geno
380,COL2A1-Geno,Gene-Geno
381,COL3A1-Geno,Gene-Geno
382,COL4A1-Geno,Gene-Geno
383,COL4A2-Geno,Gene-Geno
384,COL4A3-Geno,Gene-Geno
385,COL4A4-Geno,Gene-Geno
386,COL4A5-Geno,Gene-Geno
387,COL4A6-Geno,Gene-Geno
388,COL6A1-Geno,Gene-Geno
389,COL6A2-Geno,Gene-Geno
390,COL6A3-Geno,Gene-Geno
391,COL6A5-Geno,Gene-Geno
392,COL6A6-Geno,Gene-Geno
393,COL9A1-Geno,Gene-Geno
394,COL9A2-Geno,Gene-Geno
395,COL9A3-Geno,Gene-Geno
396,COMP-Geno,Gene-Geno
397,COP1-Geno,Gene-Geno
398,CPT1A-Geno,Gene-Geno
399,CPT1B-Geno,Gene-Geno
400,CPT1C-Geno,Gene-Geno
401,CPT2-Geno,Gene-Geno
402,CREB1-Geno,Gene-Geno
403,CREB3-Geno,Gene-Geno
404,CREB3L1-Geno,Gene-Geno
405,CREB3L2-Geno,Gene-Geno
406,CREB3L3-Geno,Gene-Geno
407,CREB3L4-Geno,Gene-Geno
408,CREB5-Geno,Gene-Geno
409,CREBBP-Geno,Gene-Geno
410,CRK-Geno,Gene-Geno
411,CRKL-Geno,Gene-Geno
412,CRLF2-Geno,Gene-Geno
413,CRTC2-Geno,Gene-Geno
414,CSF1-Geno,Gene-Geno
415,CSF1R-Geno,Gene-Geno
416,CSF2-Geno,Gene-Geno
417,CSF2RA-Geno,Gene-Geno
418,CSF2RB-Geno,Gene-Geno
419,CSF3-Geno,Gene-Geno
420,CSF3R-Geno,Gene-Geno
421,CSH1-Geno,Gene-Geno
422,CSH2-Geno,Gene-Geno
423,CSN2-Geno,Gene-Geno
424,CSNK1A1-Geno,Gene-Geno
425,CSNK1A1L-Geno,Gene-Geno
426,CSNK1D-Geno,Gene-Geno
427,CSNK1E-Geno,Gene-Geno
428,CSNK1G1-Geno,Gene-Geno
429,CSNK1G2-Geno,Gene-Geno
430,CSNK1G3-Geno,Gene-Geno
431,CSNK2A1-Geno,Gene-Geno
432,CSNK2A2-Geno,Gene-Geno
433,CSNK2A3-Geno,Gene-Geno
434,CSNK2B-Geno,Gene-Geno
435,CTBP1-Geno,Gene-Geno
436,CTBP2-Geno,Gene-Geno
437,CTF1-Geno,Gene-Geno
438,CTLA4-Geno,Gene-Geno
439,CTNNA1-Geno,Gene-Geno
440,CTNNA2-Geno,Gene-Geno
441,CTNNA3-Geno,Gene-Geno
442,CTNNB1-Geno,Gene-Geno
443,CTNNBIP1-Geno,Gene-Geno
444,CTNND1-Geno,Gene-Geno
445,CTNND2-Geno,Gene-Geno
446,CTSB-Geno,Gene-Geno
447,CTSD-Geno,Gene-Geno
448,CUL1-Geno,Gene-Geno
449,CUL3-Geno,Gene-Geno
450,CX3CL1-Geno,Gene-Geno
451,CX3CR1-Geno,Gene-Geno
452,CXCL1-Geno,Gene-Geno
453,CXCL10-Geno,Gene-Geno
454,CXCL11-Geno,Gene-Geno
455,CXCL12-Geno,Gene-Geno
456,CXCL13-Geno,Gene-Geno
457,CXCL14-Geno,Gene-Geno
458,CXCL16-Geno,Gene-Geno
459,CXCL2-Geno,Gene-Geno
460,CXCL3-Geno,Gene-Geno
461,CXCL5-Geno,Gene-Geno
462,CXCL6-Geno,Gene-Geno
463,CXCL8-Geno,Gene-Geno
464,CXCL9-Geno,Gene-Geno
465,CXCR1-Geno,Gene-Geno
466,CXCR2-Geno,Gene-Geno
467,CXCR3-Geno,Gene-Geno
468,CXCR4-Geno,Gene-Geno
469,CXCR5-Geno,Gene-Geno
470,CXCR6-Geno,Gene-Geno
471,CXXC4-Geno,Gene-Geno
472,CYBA-Geno,Gene-Geno
473,CYBB-Geno,Gene-Geno
474,CYCS-Geno,Gene-Geno
475,CYLD-Geno,Gene-Geno
476,CYP17A1-Geno,Gene-Geno
477,CYP27A1-Geno,Gene-Geno
478,CYP7A1-Geno,Gene-Geno
479,CYP8B1-Geno,Gene-Geno
480,CYSLTR1-Geno,Gene-Geno
481,CYSLTR2-Geno,Gene-Geno
482,CYTH1-Geno,Gene-Geno
483,CYTH2-Geno,Gene-Geno
484,CYTH3-Geno,Gene-Geno
485,CYTH4-Geno,Gene-Geno
486,DAAM1-Geno,Gene-Geno
487,DAAM2-Geno,Gene-Geno
488,DAB2IP-Geno,Gene-Geno
489,DAPP1-Geno,Gene-Geno
490,DAXX-Geno,Gene-Geno
491,DBI-Geno,Gene-Geno
492,DCHS1-Geno,Gene-Geno
493,DCHS2-Geno,Gene-Geno
494,DCN-Geno,Gene-Geno
495,DDB2-Geno,Gene-Geno
496,DDIT3-Geno,Gene-Geno
497,DDIT4-Geno,Gene-Geno
498,DDX3X-Geno,Gene-Geno
499,DDX58-Geno,Gene-Geno
500,DEFB4A-Geno,Gene-Geno
501,DEFB4B-Geno,Gene-Geno
502,DEPDC5-Geno,Gene-Geno
503,DEPTOR-Geno,Gene-Geno
504,DHH-Geno,Gene-Geno
505,DHX33-Geno,Gene-Geno
506,DHX58-Geno,Gene-Geno
507,DIAPH1-Geno,Gene-Geno
508,DISP1-Geno,Gene-Geno
509,DKK1-Geno,Gene-Geno
510,DKK2-Geno,Gene-Geno
511,DKK4-Geno,Gene-Geno
512,DLG1-Geno,Gene-Geno
513,DLG2-Geno,Gene-Geno
514,DLG3-Geno,Gene-Geno
515,DLG4-Geno,Gene-Geno
516,DLG5-Geno,Gene-Geno
517,DLL1-Geno,Gene-Geno
518,DLL3-Geno,Gene-Geno
519,DLL4-Geno,Gene-Geno
520,DNM1L-Geno,Gene-Geno
521,DOCK2-Geno,Gene-Geno
522,DOCK4-Geno,Gene-Geno
523,DRD1-Geno,Gene-Geno
524,DRD2-Geno,Gene-Geno
525,DRD5-Geno,Gene-Geno
526,DTX1-Geno,Gene-Geno
527,DTX2-Geno,Gene-Geno
528,DTX3-Geno,Gene-Geno
529,DTX3L-Geno,Gene-Geno
530,DTX4-Geno,Gene-Geno
531,DUSP1-Geno,Gene-Geno
532,DUSP10-Geno,Gene-Geno
533,DUSP16-Geno,Gene-Geno
534,DUSP2-Geno,Gene-Geno
535,DUSP3-Geno,Gene-Geno
536,DUSP4-Geno,Gene-Geno
537,DUSP5-Geno,Gene-Geno
538,DUSP6-Geno,Gene-Geno
539,DUSP7-Geno,Gene-Geno
540,DUSP8-Geno,Gene-Geno
541,DUSP9-Geno,Gene-Geno
542,DVL1-Geno,Gene-Geno
543,DVL2-Geno,Gene-Geno
544,DVL3-Geno,Gene-Geno
545,E2F4-Geno,Gene-Geno
546,E2F5-Geno,Gene-Geno
547,EBAG9-Geno,Gene-Geno
548,ECSIT-Geno,Gene-Geno
549,EDA-Geno,Gene-Geno
550,EDA2R-Geno,Gene-Geno
551,EDAR-Geno,Gene-Geno
552,EDARADD-Geno,Gene-Geno
553,EDN1-Geno,Gene-Geno
554,EDN2-Geno,Gene-Geno
555,EDN3-Geno,Gene-Geno
556,EDNRA-Geno,Gene-Geno
557,EDNRB-Geno,Gene-Geno
558,EEF2-Geno,Gene-Geno
559,EEF2K-Geno,Gene-Geno
560,EFCAB7-Geno,Gene-Geno
561,EFNA1-Geno,Gene-Geno
562,EFNA2-Geno,Gene-Geno
563,EFNA3-Geno,Gene-Geno
564,EFNA4-Geno,Gene-Geno
565,EFNA5-Geno,Gene-Geno
566,EGF-Geno,Gene-Geno
567,EGFR-Geno,Gene-Geno
568,EGLN1-Geno,Gene-Geno
569,EGLN2-Geno,Gene-Geno
570,EGLN3-Geno,Gene-Geno
571,EGR1-Geno,Gene-Geno
572,EGR2-Geno,Gene-Geno
573,EGR3-Geno,Gene-Geno
574,EHHADH-Geno,Gene-Geno
575,EI24-Geno,Gene-Geno
576,EIF4B-Geno,Gene-Geno
577,EIF4E-Geno,Gene-Geno
578,EIF4E1B-Geno,Gene-Geno
579,EIF4E2-Geno,Gene-Geno
580,EIF4EBP1-Geno,Gene-Geno
581,ELAVL1-Geno,Gene-Geno
582,ELF5-Geno,Gene-Geno
583,ELK1-Geno,Gene-Geno
584,ELK4-Geno,Gene-Geno
585,ELMO1-Geno,Gene-Geno
586,ELOB-Geno,Gene-Geno
587,ELOC-Geno,Gene-Geno
588,ENAH-Geno,Gene-Geno
589,ENO1-Geno,Gene-Geno
590,ENO2-Geno,Gene-Geno
591,ENO3-Geno,Gene-Geno
592,ENO4-Geno,Gene-Geno
593,EP300-Geno,Gene-Geno
594,EPHA2-Geno,Gene-Geno
595,EPO-Geno,Gene-Geno
596,EPOR-Geno,Gene-Geno
597,ERBB2-Geno,Gene-Geno
598,ERBB3-Geno,Gene-Geno
599,ERBB4-Geno,Gene-Geno
600,ERBIN-Geno,Gene-Geno
601,EREG-Geno,Gene-Geno
602,ESR1-Geno,Gene-Geno
603,ESR2-Geno,Gene-Geno
604,ESRRB-Geno,Gene-Geno
605,ETS1-Geno,Gene-Geno
606,ETS2-Geno,Gene-Geno
607,EVC-Geno,Gene-Geno
608,EVC2-Geno,Gene-Geno
609,EVL-Geno,Gene-Geno
610,EXOC2-Geno,Gene-Geno
611,EXOC7-Geno,Gene-Geno
612,F2-Geno,Gene-Geno
613,F2R-Geno,Gene-Geno
614,F2RL3-Geno,Gene-Geno
615,F3-Geno,Gene-Geno
616,FABP1-Geno,Gene-Geno
617,FABP3-Geno,Gene-Geno
618,FABP4-Geno,Gene-Geno
619,FADD-Geno,Gene-Geno
620,FADS2-Geno,Gene-Geno
621,FARP2-Geno,Gene-Geno
622,FAS-Geno,Gene-Geno
623,FASLG-Geno,Gene-Geno
624,FASN-Geno,Gene-Geno
625,FAT4-Geno,Gene-Geno
626,FBP1-Geno,Gene-Geno
627,FBP2-Geno,Gene-Geno
628,FBXO25-Geno,Gene-Geno
629,FBXO32-Geno,Gene-Geno
630,FBXW11-Geno,Gene-Geno
631,FCER1A-Geno,Gene-Geno
632,FCER1G-Geno,Gene-Geno
633,FCGR2B-Geno,Gene-Geno
634,FFAR2-Geno,Gene-Geno
635,FGF1-Geno,Gene-Geno
636,FGF10-Geno,Gene-Geno
637,FGF16-Geno,Gene-Geno
638,FGF17-Geno,Gene-Geno
639,FGF18-Geno,Gene-Geno
640,FGF19-Geno,Gene-Geno
641,FGF2-Geno,Gene-Geno
642,FGF20-Geno,Gene-Geno
643,FGF21-Geno,Gene-Geno
644,FGF22-Geno,Gene-Geno
645,FGF23-Geno,Gene-Geno
646,FGF3-Geno,Gene-Geno
647,FGF4-Geno,Gene-Geno
648,FGF5-Geno,Gene-Geno
649,FGF6-Geno,Gene-Geno
650,FGF7-Geno,Gene-Geno
651,FGF8-Geno,Gene-Geno
652,FGF9-Geno,Gene-Geno
653,FGFR1-Geno,Gene-Geno
654,FGFR2-Geno,Gene-Geno
655,FGFR3-Geno,Gene-Geno
656,FGFR4-Geno,Gene-Geno
657,FGR-Geno,Gene-Geno
658,FHL1-Geno,Gene-Geno
659,FLCN-Geno,Gene-Geno
660,FLNA-Geno,Gene-Geno
661,FLNB-Geno,Gene-Geno
662,FLNC-Geno,Gene-Geno
663,FLOT1-Geno,Gene-Geno
664,FLOT2-Geno,Gene-Geno
665,FLT1-Geno,Gene-Geno
666,FLT3-Geno,Gene-Geno
667,FLT3LG-Geno,Gene-Geno
668,FLT4-Geno,Gene-Geno
669,FMOD-Geno,Gene-Geno
670,FN1-Geno,Gene-Geno
671,FNIP1-Geno,Gene-Geno
672,FNIP2-Geno,Gene-Geno
673,FOS-Geno,Gene-Geno
674,FOSB-Geno,Gene-Geno
675,FOSL1-Geno,Gene-Geno
676,FOXO1-Geno,Gene-Geno
677,FOXO3-Geno,Gene-Geno
678,FOXO4-Geno,Gene-Geno
679,FOXO6-Geno,Gene-Geno
680,FPR1-Geno,Gene-Geno
681,FRAT1-Geno,Gene-Geno
682,FRAT2-Geno,Gene-Geno
683,FRMD1-Geno,Gene-Geno
684,FRMD6-Geno,Gene-Geno
685,FRS2-Geno,Gene-Geno
686,FSHB-Geno,Gene-Geno
687,FSHR-Geno,Gene-Geno
688,FST-Geno,Gene-Geno
689,FXYD1-Geno,Gene-Geno
690,FXYD2-Geno,Gene-Geno
691,FYB1-Geno,Gene-Geno
692,FYN-Geno,Gene-Geno
693,FZD1-Geno,Gene-Geno
694,FZD10-Geno,Gene-Geno
695,FZD2-Geno,Gene-Geno
696,FZD3-Geno,Gene-Geno
697,FZD4-Geno,Gene-Geno
698,FZD5-Geno,Gene-Geno
699,FZD6-Geno,Gene-Geno
700,FZD7-Geno,Gene-Geno
701,FZD8-Geno,Gene-Geno
702,FZD9-Geno,Gene-Geno
703,G6PC1-Geno,Gene-Geno
704,G6PC2-Geno,Gene-Geno
705,G6PC3-Geno,Gene-Geno
706,GAB1-Geno,Gene-Geno
