gene_name,TCGA-AF-2690-01,TCGA-AF-6136-01,TCGA-AF-6655-01,TCGA-AF-6672-01,TCGA-AF-A56N-01,TCGA-AG-3591-01,TCGA-AG-3725-01,TCGA-AG-3731-01,TCGA-AG-3742-01,TCGA-AG-4021-01,TCGA-AG-4022-01,TCGA-AH-6544-01,TCGA-AH-6547-01,TCGA-AH-6643-01,TCGA-AH-6644-01,TCGA-AH-6897-01,TCGA-CI-6621-01,TCGA-CL-5918-01,TCGA-DC-4745-01,TCGA-DC-4749-01,TCGA-DC-5337-01,TCGA-DC-5869-01,TCGA-DC-6155-01,TCGA-DC-6157-01,TCGA-DC-6158-01,TCGA-DC-6160-01,TCGA-DC-6681-01,TCGA-DC-6682-01,TCGA-DC-6683-01,TCGA-DT-5265-01,TCGA-DY-A0XA-01,TCGA-DY-A1DC-01,TCGA-DY-A1DD-01,TCGA-DY-A1DF-01,TCGA-DY-A1DG-01,TCGA-DY-A1H8-01,TCGA-EF-5830-01,TCGA-EI-6506-01,TCGA-EI-6507-01,TCGA-EI-6508-01,TCGA-EI-6509-01,TCGA-EI-6510-01,TCGA-EI-6511-01,TCGA-EI-6512-01,TCGA-EI-6513-01,TCGA-EI-6514-01,TCGA-EI-6881-01,TCGA-EI-6882-01,TCGA-EI-6884-01,TCGA-EI-6885-01,TCGA-EI-6917-01,TCGA-F5-6464-01,TCGA-F5-6465-01,TCGA-F5-6571-01,TCGA-F5-6702-01,TCGA-F5-6811-01,TCGA-F5-6812-01,TCGA-F5-6813-01,TCGA-F5-6861-01,TCGA-F5-6863-01,TCGA-F5-6864-01,TCGA-G5-6641-01
ACSL1,4.9265,2.8076,3.6669,3.8023,3.6289,4.1506,3.5022,3.9289,3.2752,5.0313,2.6962,4.2281,3.1377,4.0278,2.7465,5.2149,3.1749,3.4622,1.8722,3.4933,4.3299,3.9709,2.9128,3.7193,3.8581,3.2205,2.8117,5.4087,3.4868,4.5644,3.772,4.1384,3.6816,3.325,4.1604,3.2328,3.6393,3.2766,4.6218,2.7551,1.6558,1.8879,3.8044,3.5187,2.828,2.9262,2.0979,4.1852,3.7105,5.044,3.5187,3.4183,3.2541,2.96,3.836,3.8621,3.2752,5.1412,4.5009,3.4102,5.1926,3.2647
ACSL3,4.9714,6.4065,5.3941,4.9132,5.5574,4.5754,5.1815,5.1506,5.4209,6.8032,4.8192,6.0858,5.1883,6.1663,5.7307,6.9638,5.5796,4.866,4.664,5.9732,5.625,5.6551,3.7356,6.2169,5.2361,5.6882,5.3841,6.6366,6.1879,4.5886,4.9727,5.2828,4.2616,2.8522,4.7334,3.7971,5.3544,5.3133,4.6312,5.4436,4.8575,4.8895,4.8866,5.6427,5.1891,4.7022,5.1177,5.3234,5.3327,4.991,5.1784,4.8038,4.9331,4.5148,5.2227,5.3223,5.2597,6.3951,5.382,5.7134,6.1392,5.0532
ACSL4,4.0419,4.2358,4.0109,4.096,4.5021,3.2267,2.5413,3.9883,4.1261,4.0216,4.4463,4.1425,3.4384,4.3917,3.8075,4.7571,4.2877,4.2526,2.4985,4.3285,4.9454,2.9875,0.6239,3.4713,4.4536,4.1579,2.7444,4.637,5.3927,3.3307,2.3564,2.8897,3.074,1.9188,2.9394,1.9859,2.9205,3.4648,4.1531,1.8242,3.027,2.77,4.1812,4.6983,3.5461,3.8177,3.7909,3.8896,4.0082,4.2373,3.8002,3.2856,3.4583,3.3842,3.8085,3.7215,3.1733,3.3938,1.9786,2.6302,3.417,1.9073
ACSL5,6.3834,5.9926,7.1154,5.8359,6.9068,6.3438,7.0315,7.0051,7.589,5.7525,7.3256,7.2259,6.7715,7.8398,6.6221,5.4115,6.6054,6.9419,7.8155,7.0666,6.8481,6.6582,5.347,6.9478,7.0044,6.0326,7.1571,6.3544,7.0855,6.7916,7.5726,6.8509,6.767,5.8535,7.177,6.2348,7.1778,6.8572,3.5621,7.2886,6.3074,7.3043,7.3543,6.5895,7.4631,7.44,7.0555,6.1809,7.2444,6.8396,6.4565,6.431,7.1427,7.2771,6.0124,7.5393,6.2747,7.3637,7.0577,6.9866,7.1269,7.2101
ACSL6,-4.2451,-4.7931,-1.1559,-0.6576500000000001,0.2027000000000001,-4.4073,-1.2192499999999995,-1.53665,-0.3901999999999996,-4.40085,0.3099500000000001,-4.99675,-4.975,-5.48145,-3.8218,-4.58295,-1.2227,-3.42395,-3.2459,-3.69755,-4.42705,-0.44065,-5.8026,0.8132500000000003,-4.07695,-1.25815,-1.10675,-3.6337,-0.8845500000000002,-4.4508,-3.47385,-3.40025,-1.2327,-4.212149999999999,-4.4171,-2.9699,-5.31505,-3.64375,-4.69475,-5.15205,-7.287,-3.3104,-3.65395,-5.20895,-4.0852,1.0402999999999998,-3.40755,-4.1759,0.3018499999999999,-0.6129499999999999,-6.25685,-4.2503,1.5671,0.94065,-4.2171,-0.6200000000000001,-2.92695,-1.34385,-0.5239999999999998,-0.841,-0.46085,-5.0993
ACTA2,9.4074,7.1756,7.5883,6.3676,7.6834,6.6885,6.0698,8.1692,6.9049,7.9024,7.7596,5.6396,7.5346,6.9238,7.2684,6.4405,7.4449,5.1433,7.3856,6.1749,6.2428,7.7248,6.7388,6.5659,7.5303,6.3351,8.9836,6.1414,6.7508,9.9335,6.4872,7.7485,8.9455,8.6586,4.7038,4.9663,5.8074,7.1843,7.8672,7.5457,6.9926,4.6416,7.1256,5.8662,7.4125,8.8517,5.9635,6.3975,7.6786,7.5503,8.5301,9.9595,8.4042,8.0497,9.6235,7.9494,9.7301,8.5922,7.4598,9.3226,9.565,5.1599
ACTB,11.578,11.4722,11.4154,11.0334,11.6456,10.9148,11.6042,11.1784,11.2501,11.3262,11.7143,11.9441,11.3819,11.9691,11.753,11.168,11.1369,11.9474,11.3926,11.5602,11.7478,11.5836,13.2947,11.1507,11.7341,11.3935,11.7574,11.0532,11.5324,12.3382,11.1783,12.2432,11.5351,11.9759,11.6222,12.5728,11.3554,11.4284,11.2678,11.5347,11.2119,11.0855,11.7848,11.6629,11.6135,11.4008,11.3142,11.2165,11.2328,11.0862,11.1958,12.149,11.3735,10.9923,12.0518,11.7747,11.6445,11.8261,11.4204,11.4546,11.3511,11.1845
ACTG1,10.9732,10.4794,11.0333,11.3862,11.6974,10.7742,10.5611,11.1193,10.7934,11.3548,10.7679,11.5415,11.2396,10.4865,11.341,12.8744,11.2368,10.7591,11.1251,10.7332,11.4003,11.1828,9.5561,10.9371,10.6589,11.3983,11.925,11.7461,11.3513,11.2316,10.5393,11.1587,10.0443,9.3281,11.438,10.8656,10.4712,11.7177,11.4877,10.7167,11.1734,10.8398,11.0153,11.2931,10.1017,10.9091,11.5624,10.8697,11.2816,11.0182,11.817,11.3601,11.3952,11.4059,10.9586,11.2557,10.4801,10.8331,11.7084,10.8251,10.7702,10.9448
ACVR1,3.6451,3.4791,3.6006,3.0145,3.3464,2.7572,2.9109,3.637,3.3925,3.6691,3.6883,3.0217,3.3464,3.4569,3.838,3.4997,3.4007,3.0481,2.8562,3.2557,2.971,3.5621,0.044,3.7804,4.1136,3.4075,3.3842,3.5035,3.5766,3.7094,3.1162,2.7292,2.561,1.8201,2.5011,1.6466,3.66,3.3047,3.4237,2.8661,3.3134,3.091,3.5299,3.1685,3.1572,3.5779,3.0944,3.3689,3.4609,3.6657,3.3842,4.4162,3.8491,3.0688,4.1111,3.8157,3.6018,3.2707,3.0859,3.8511,3.4791,3.2143
ACVR1B,3.9947,4.3328,3.9947,4.2736,4.8299,3.5718,4.6041,4.6815,4.6809,4.8161,4.7533,3.5766,4.3198,2.9413,3.9901,3.9819,4.5021,4.1351,4.1954,4.0575,3.1458,3.9589,1.3956,4.8084,4.0144,4.466,3.8411,4.4529,5.168,3.5608,4.6364,4.2033,4.591,3.6657,4.6838,3.9673,4.8324,4.6577,4.5186,4.2601,4.4324,5.0365,4.8059,4.6725,4.7115,5.2869,4.1764,3.7898,4.5602,5.0635,3.5923,3.4945,3.7345,4.7225,3.5399,4.7192,3.9691,4.382,4.2165,4.6927,4.4556,4.95
ACVR1C,-0.0574,-0.3566,-1.7809,0.0158,0.9268,0.4552,-0.5332,-1.6394,-0.8863,0.1388,-1.4699,-0.4131,0.4233,-1.4699,-2.9324,1.9415,-1.0862,-1.5951,0.688,0.24,0.8647,1.1184,-3.0469,0.9716,0.2029,0.688,0.3685,0.7493,-1.1811,-1.5951,0.4761,-2.0529,-2.8262,-2.0529,1.1833,-1.5951,-0.9971,0.2881,0.044,-0.3201,-0.3383,0.6425,0.537,-1.2828,-3.1714,-1.6394,-2.8262,0.4761,-0.4325,-0.5543,0.2998,-4.2934,-0.8599,-5.5735,-2.8262,1.0293,-5.0116,-2.7274,0.044,-1.7809,1.1706,1.3623
ACVR2A,2.2603,2.4332,1.6512,2.5388,1.8996,2.1541,1.7185,1.5902,1.7786,2.828,2.1411,0.8961,1.8879,0.688,2.1988,1.766,1.3956,1.787,1.7828,1.8078,1.9377,2.2237,0.7916,2.6556,2.328,1.7273,1.6785,2.2663,2.5011,1.8879,2.0776,1.7009,2.6805,2.1894,2.2206,0.9862,2.4332,1.9073,1.8282,2.4225,2.1509,1.5806,1.3679,1.3791,2.4701,1.8879,2.6067,2.118,1.3679,1.3735,1.6875,1.8484,2.5658,1.8404,2.6278,1.9564,1.9931,1.0433,1.2815,1.8604,2.8055,2.2482
ACVR2B,-0.2671,0.1648,0.1776,1.5709,1.1117,0.24,0.1519,0.4552,0.2998,0.2029,0.1519,-1.3921,-0.6416,0.7916,0.0854,0.688,0.9343,0.5955,-0.0277,-0.4131,-0.4325,0.7748,0.3346,0.7999,0.3796,0.058,0.517,0.4552,0.4447,-0.2671,1.4808,-0.3383,0.8726,-0.0725,0.4967,0.5955,0.6145,-0.2159,1.2636,0.9493,0.2881,0.9789,0.5568,-1.0262,1.2576,0.7321,-0.0877,0.24,0.3573,1.5165,0.4125,0.0718,0.4016,0.7748,0.3346,0.3907,0.7493,0.2642,0.8082,0.8726,1.1577,0.7664
ADAM17,2.8602,1.7446,2.7931,2.4571,2.9637,2.6208,2.5948,2.8779,3.0217,3.4224,2.4857,1.9264,2.6255,3.1028,3.091,3.7825,3.0995,1.9188,2.7051,2.4544,2.2113,3.4907,-0.5543,3.6393,3.2526,2.7095,2.0979,3.5274,2.9356,1.6875,2.2842,2.3953,1.3167,0.5763,1.9601,0.3573,2.609,2.8502,3.0774,2.5707,2.3222,1.8762,2.7721,2.1378,3.1604,2.6278,3.1212,3.0671,2.9224,3.2282,3.1844,2.8779,3.0358,2.8096,2.8562,2.8779,2.4008,2.874,2.5036,2.4518,3.0217,2.2783
ADCY1,-0.7588,-1.2142,-0.9132,0.8647,-2.4659,-4.6082,-2.3147,-1.3548,-3.1714,-3.6259,-2.3884,-4.035,-1.2142,-0.2498,-2.9324,-3.6259,0.3796,-2.9324,-2.4659,-1.7322,-3.458,-1.0862,-3.458,-0.4719,-1.9379,-1.0862,-0.2328,0.6332,-4.2934,-2.8262,0.9789,-2.3884,-3.1714,-3.458,-4.2934,-1.5951,-1.8836,-3.0469,-3.3076,-2.5479,-1.0862,-5.0116,-1.4305,-2.4659,-1.5105,-2.6349,-2.114,-3.458,-1.9942,-2.5479,-0.3566,-2.114,-1.1172,-2.0529,-1.4699,-3.1714,-2.2447,-2.4659,-3.1714,-4.6082,1.5661,-3.6259
ADCY10,-4.2934,-2.3147,-6.5064,-5.5735,-2.6349,-3.0469,-3.6259,-4.6082,-4.2934,-3.816,-4.6082,-3.6259,-4.6082,-3.458,-4.2934,-6.5064,-3.1714,-6.5064,-2.1779,-4.2934,-2.3884,-1.0862,-1.4699,-3.3076,-4.2934,-4.035,-9.9658,-9.9658,-4.035,-3.1714,-6.5064,-3.6259,-3.458,-3.458,-3.1714,-2.9324,-3.458,-3.0469,-4.2934,-2.0529,-4.2934,-4.6082,-3.816,-6.5064,-5.0116,-2.8262,-5.0116,-2.3147,-5.5735,-3.816,-5.5735,-3.458,-4.2934,-4.6082,-4.6082,-3.3076,-3.1714,-1.0559,-5.0116,-3.6259,-4.6082,-6.5064
ADCY2,-0.0725,-1.4305,0.3796,-2.114,-0.5332,-4.035,-1.7809,-0.1031,-0.9971,-0.8599,-0.5756,-3.458,-0.5756,-3.1714,0.044,-2.9324,-1.0862,-3.0469,-1.7322,-1.7322,-3.1714,-0.6193,-3.0469,-1.5522,0.7146,-4.2934,0.6332,-3.1714,-1.6394,-0.4325,-1.4699,-2.0529,-1.5105,-1.7809,-5.0116,-5.5735,-3.1714,-1.0559,-1.7809,-0.5543,-1.5105,-3.6259,-1.5522,-1.6394,-1.5522,-0.0877,-3.816,-1.2828,-0.9406,-0.3566,-0.2159,0.7493,0.517,0.3796,1.1897,0.3346,0.4016,-1.685,-1.7322,0.434,-0.5543,-2.114
ADCY3,5.0955,3.5312,5.0436,3.7378,4.5868,4.0242,4.8324,4.7159,5.4732,4.0375,5.0041,4.6543,3.7635,3.9856,4.2639,4.7442,4.6988,5.824,5.0691,5.0497,4.2556,4.2578,2.5363,5.1583,4.8485,5.4858,4.2358,4.085,4.5964,4.9416,5.3754,4.5964,5.9146,4.4006,5.8999,3.3773,4.4621,4.9973,4.4829,4.3068,3.6939,4.5844,4.6347,4.1211,5.1165,4.6265,5.6364,4.504,5.0286,4.9294,4.6548,4.8949,4.7719,4.6832,4.3413,4.6554,5.178,4.4277,4.1482,5.465,5.3317,3.0428
ADCY4,1.9931,1.5806,2.0183,1.7489,1.412,0.3346,0.1903,2.5313,1.1706,3.0637,1.2576,0.4657,2.0604,0.9115,1.4065,0.2029,1.9786,0.2029,0.517,-0.4131,0.2154,0.517,1.0642,1.7828,0.9862,1.6558,0.8327,-0.1828,-0.5543,1.683,1.6604,-0.4131,1.9415,1.5165,2.2813,1.6234,-0.5543,2.0878,1.1512,0.8327,0.1903,-0.0725,0.6332,0.4657,-0.2159,-0.1031,0.8568,2.5213,1.642,1.8363,1.2455,1.412,2.6232,1.1117,0.6699,0.2154,1.4174,0.7233,1.3225,1.7575,1.9859,1.3679
ADCY5,1.6234,-0.1187,-0.4325,-1.1811,-0.8863,-1.8836,-0.8339,1.0363,-0.3752,-0.8863,0.0158,-1.685,1.1447,-2.3147,0.1124,-1.4305,-0.8084,-2.9324,-1.5951,-0.2845,1.1512,-0.9971,-0.5125,-2.0529,-1.3548,-0.4921,2.2206,-0.5756,-1.1811,1.5064,-2.8262,-0.1031,1.0222,0.8164,-3.0469,-3.0469,-2.5479,-0.8863,-3.458,0.1776,-2.3884,-0.5543,-0.9132,-1.4305,-1.9379,1.2516,-2.4659,-1.8314,1.2696,-0.0877,-1.5105,1.9931,0.9789,0.7058,0.8805,-0.4131,2.0465,0.1388,-0.3752,2.3926,3.1458,-0.1828
ADCY6,3.0757,4.1852,4.3249,4.773,3.8208,4.1327,4.0064,4.2009,3.8147,4.5192,3.2632,3.0358,4.1867,3.2973,3.3689,3.9883,4.2965,2.8641,3.1939,3.6646,2.6114,2.7551,1.683,4.0109,3.5073,3.9728,3.9223,3.3703,3.7561,3.8857,4.4196,3.1829,2.8897,3.0791,3.6894,3.945,3.4318,4.9021,4.8748,4.5844,3.2885,4.7291,2.876,3.8886,4.0807,2.7205,3.6451,4.748,4.6679,4.347,4.1351,3.1987,3.5086,3.9185,3.2856,3.3731,3.4517,2.7357,4.4654,4.0782,4.6422,4.5784
ADCY7,2.4544,2.685,1.6695,1.6695,2.3564,1.0915,2.0076,3.0842,1.2756,1.46,1.6374,2.2693,2.9338,1.0222,0.044,0.7916,2.1147,0.0158,0.434,1.2455,-0.1031,2.5263,1.6281,0.9493,3.5875,2.8341,1.9377,0.4447,0.4552,1.5165,1.412,0.2029,0.9343,-0.013,0.2762,-0.0725,0.5955,2.8055,4.2064,1.8683,1.642,1.2147,2.036,2.1411,2.2452,0.9716,1.7185,1.8762,1.9377,3.868,2.7931,2.3394,2.7465,1.9859,2.3508,0.9343,0.8568,0.3231,2.3508,0.3685,1.3567,0.5859
ADCY8,-5.5735,-9.9658,-4.6082,-9.9658,-9.9658,-3.6259,-6.5064,-5.5735,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-6.5064,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ADCY9,1.5709,1.9564,2.4008,1.2636,1.5465,0.6145,2.4544,2.233,1.5563,1.6512,2.0878,1.2576,2.6114,0.9493,0.8883,0.6145,1.9527,0.9343,1.5266,0.688,-0.0574,0.9568,0.9642,1.0433,2.6828,1.7053,3.0323,0.4967,1.5165,1.6327,1.7575,1.6695,1.0915,1.2209,0.6332,0.044,0.5069,2.1047,2.2663,1.8484,0.3685,0.7579,1.6875,1.5013,2.2573,2.1734,1.614,2.233,2.1313,2.4198,1.0779,2.2206,1.2696,2.1574,2.3423,1.9034,2.1638,1.4335,1.1512,2.3981,1.7702,1.6187
ADCYAP1,1.0847,1.5064,-0.9132,-2.4659,-1.3548,-2.9324,-1.9942,-0.394,-2.9324,-2.5479,0.3685,-0.5125,0.03,-0.9406,-0.1504,-5.0116,-0.6416,-6.5064,-2.2447,-6.5064,-4.6082,-3.816,-3.1714,-1.0559,-1.3921,-1.0862,-0.1031,-2.3884,-1.0559,0.5568,-9.9658,-1.3548,0.3346,-3.1714,-9.9658,-9.9658,-3.816,-0.7108,-5.5735,-2.7274,-9.9658,-3.6259,-4.2934,-4.6082,-4.6082,-1.0559,-4.6082,0.03,0.2762,1.1512,-6.5064,1.3846,-0.1828,-1.0862,-1.6394,-1.1488,0.8408,-0.0725,-3.0469,1.0293,0.058,-4.035
