gene_name,TCGA-KL-8324-01,TCGA-KL-8325-01,TCGA-KL-8326-01,TCGA-KL-8327-01,TCGA-KL-8328-01,TCGA-KL-8329-01,TCGA-KL-8330-01,TCGA-KL-8331-01,TCGA-KL-8332-01,TCGA-KL-8333-01,TCGA-KL-8334-01,TCGA-KL-8335-01,TCGA-KL-8336-01,TCGA-KL-8337-01,TCGA-KL-8338-01,TCGA-KL-8339-01,TCGA-KL-8340-01,TCGA-KL-8341-01,TCGA-KL-8342-01,TCGA-KL-8343-01,TCGA-KL-8344-01,TCGA-KL-8345-01,TCGA-KL-8346-01,TCGA-KM-8438-01,TCGA-KM-8439-01,TCGA-KM-8440-01,TCGA-KM-8441-01,TCGA-KM-8442-01,TCGA-KM-8443-01,TCGA-KM-8476-01,TCGA-KM-8639-01,TCGA-KN-8418-01,TCGA-KN-8419-01,TCGA-KN-8421-01,TCGA-KN-8423-01,TCGA-KN-8424-01,TCGA-KN-8425-01,TCGA-KN-8426-01,TCGA-KN-8427-01,TCGA-KN-8428-01,TCGA-KN-8429-01,TCGA-KN-8431-01,TCGA-KN-8432-01,TCGA-KN-8433-01,TCGA-KN-8434-01,TCGA-KN-8435-01,TCGA-KN-8436-01,TCGA-KN-8437-01,TCGA-KO-8403-01,TCGA-KO-8404-01,TCGA-KO-8405-01,TCGA-KO-8406-01,TCGA-KO-8407-01,TCGA-KO-8408-01,TCGA-KO-8409-01,TCGA-KO-8410-01,TCGA-KO-8411-01,TCGA-KO-8413-01,TCGA-KO-8414-01,TCGA-KO-8415-01,TCGA-KO-8416-01,TCGA-KO-8417-01
ACSBG1,-2.6349,0.8488,-3.816,-3.458,0.6699,1.8444,3.3478,1.2934,-1.7809,-4.2934,-3.1714,0.1257,-2.1779,-2.3884,-1.4305,-3.6259,0.7832,-3.3076,-3.3076,-6.5064,-3.458,-2.8262,6.4395,4.2631,-5.0116,-0.0574,-4.6082,2.6208,-0.7108,-2.3884,-2.9324,-1.2828,-4.6082,-1.8836,1.0079,-1.3548,-2.3884,1.6045,-5.5735,-0.5125,-0.1345,3.5911,-3.816,-0.8084,1.884,-1.7322,-4.035,-3.816,-3.1714,-2.3884,0.605,-3.1714,-3.0469,0.2277,-0.9686,0.5955,-4.2934,-0.7108,-2.5479,-2.9324,-2.8262,-4.035
ACSBG2,-4.035,-5.0116,-3.6259,-5.0116,-5.0116,-2.6349,-4.035,-2.4659,-4.6082,-9.9658,-1.6394,-5.5735,-5.0116,-3.3076,-2.3884,-1.8314,-2.8262,-2.3147,-9.9658,-6.5064,-5.0116,-2.8262,-3.3076,-9.9658,-5.0116,-4.2934,-9.9658,-2.7274,-5.5735,-4.035,-5.0116,-2.5479,-9.9658,-6.5064,-3.816,-4.035,-5.5735,-4.2934,-5.0116,-3.6259,-1.685,-1.8314,-4.2934,-2.114,-2.4659,-3.1714,-5.5735,-4.2934,-9.9658,-1.2142,-6.5064,-3.6259,-5.5735,-2.5479,-5.0116,-6.5064,-9.9658,-2.4659,-9.9658,-6.5064,-5.0116,-2.0529
ACSL1,6.0497,7.9993,6.7801,5.3013,8.9542,7.3785,8.3268,7.6511,7.2513,7.2849,8.2565,8.1795,8.4759,6.8302,7.3073,7.5694,7.9781,9.4874,7.2087,6.9379,7.6479,7.218,7.0287,6.7218,7.1626,8.021,7.5308,7.4501,8.0915,6.7063,7.4011,7.8299,8.1125,6.4991,6.5253,8.3932,7.1782,7.3987,4.2488,6.9996,8.0858,7.4078,6.8268,6.9309,7.9671,8.5757,5.2099,6.7335,7.6056,6.8795,7.3616,8.2472,7.342,6.8305,6.3049,6.6851,7.387,7.123,6.8964,7.431,7.1358,7.5007
ACSL3,4.2586,5.6136,3.8064,1.7009,5.119,5.505,5.5189,4.656,4.5034,5.2739,4.9089,4.936,5.9177,4.8033,4.8299,5.3618,5.2068,6.6511,4.4693,5.7624,5.0018,5.7522,4.7908,4.4047,4.7955,5.4509,5.0414,4.7835,5.2192,3.6101,5.5753,5.0773,5.2732,5.3785,5.432,5.732,5.3803,5.0018,4.7198,4.8763,5.5292,4.701,6.2443,4.9946,5.3512,5.8635,5.0777,4.8074,4.9237,3.5362,4.8131,5.393,4.81,4.4115,3.3119,5.2653,5.2814,4.9117,5.093,5.206,4.4516,5.2434
ACSL4,-0.1031,4.9814,2.4727,2.1444,3.3032,3.7443,2.5462,2.8442,3.5657,4.6195,3.5863,3.9819,4.6035,3.907,2.5948,4.7693,3.2405,2.667,2.2391,3.9459,5.9255,2.5511,2.3394,2.9839,4.8141,3.794,4.7751,3.2541,2.2603,2.7422,6.1243,3.9682,4.0401,4.6035,3.6242,3.9299,2.0946,2.3649,4.352,0.4761,3.6254,2.6624,3.7992,2.4649,3.034,3.8925,5.2777,4.9946,3.154,3.4791,2.8622,3.4398,2.9205,3.1892,1.3454,3.7741,4.2095,2.8422,3.1653,2.4727,3.1278,4.0287
ACSL5,2.8178,4.2714,-0.3752,1.2636,-1.5105,1.5165,2.3843,-0.1504,2.7161,3.4197,1.0222,1.3109,1.196,0.8647,2.3898,2.8117,-0.0425,0.8647,3.29,1.1316,2.081,2.6208,1.9786,1.0847,0.0718,1.5806,1.0779,3.1813,2.1862,-0.0725,0.7058,0.1257,4.573,-1.5105,4.2958,2.9488,2.9262,2.7465,3.0654,2.2842,2.036,0.6332,2.3077,0.9935,2.8582,1.125,2.3193,1.177,1.9188,1.7229,2.7615,3.0498,2.6232,1.0151,2.2144,3.1409,2.8858,4.2173,1.2209,2.0395,1.2085,0.679
ACSL6,-6.21585,-6.039899999999999,-5.03445,-7.4887,-4.47895,-3.78115,-4.1689,-5.3623,-7.0004,-5.00415,-5.1705,-3.96845,-3.10915,-5.1612,-5.87335,-5.15205,-5.8254,-5.4532,-6.14025,-3.7703,-4.14365,-3.8132,-6.5686,-5.9247,-6.79585,-4.975,-4.8568,-5.3746,-5.3746,-5.660299999999999,-4.37865,-4.8941,-6.7119,-5.51085,-5.57345,-4.9402,-3.1472,-5.87335,-5.399900000000001,-5.42605,-4.8568,-5.1612,-5.95185,-3.57605,-5.18945,-5.06615,-6.8909,-3.65285,-3.9306,-8.2361,-5.5415,-5.71785,-5.4532,-4.31305,-7.0004,-5.849,-4.975,-4.77665,-6.396,-4.25295,-5.09085,-3.6326
ACTA2,6.2517,4.6468,4.9695,4.7565,4.6949,5.8763,5.0157,5.8538,5.947,7.1626,7.1811,5.4893,5.323,4.3191,6.1518,5.6118,6.8617,4.5485,6.5023,5.9367,7.8382,6.4411,5.7996,5.442,3.9636,4.6708,6.4388,6.1344,3.5047,6.109,4.7016,5.327,4.8793,3.6961,5.2724,5.7944,5.2107,4.9978,7.1633,7.6133,5.4155,4.7965,6.2196,6.3737,6.1394,5.8878,4.1409,4.6927,5.8349,4.9346,7.3365,5.0751,6.0964,7.9911,4.5398,5.7939,4.7225,6.513,5.6439,5.9272,5.7911,5.6047
ACTB,10.8232,10.6436,10.5505,10.5176,11.1136,11.2025,10.708,10.9552,10.0208,10.7817,11.0928,9.4596,11.2099,10.2205,10.7724,11.3498,10.5621,10.6758,10.824,10.7792,10.3061,10.3735,11.1361,10.7229,10.6334,10.227,11.4199,11.3202,10.7756,11.0692,10.1795,10.5297,11.0176,10.0972,10.3739,10.756,10.8063,11.1484,11.071,10.7577,10.7847,10.2132,10.8792,10.1999,11.0547,10.807,10.1679,10.3492,10.6719,13.1971,11.4462,10.833,10.5759,11.0946,10.8327,10.561,10.0615,11.2909,10.7226,11.4961,10.2466,10.6737
ACTG1,9.6644,9.8983,10.0671,7.5292,9.6533,10.0103,10.0688,9.8047,9.5798,10.8134,9.7277,9.7149,10.1015,9.5643,9.7647,11.5371,9.5619,9.2428,9.422,9.9723,10.5168,9.3701,9.516,9.3243,9.7319,9.0431,10.7512,10.4118,9.3396,8.6114,9.4623,9.6766,9.8537,8.5414,9.5359,9.6312,9.6649,9.8364,11.5157,9.9198,10.0138,9.318,9.9888,9.2495,9.9184,9.6823,9.3621,9.6252,9.0201,10.4246,10.1001,9.9952,9.6526,9.6101,7.9122,10.2959,9.0577,10.017,9.2877,9.6337,9.2994,9.8329
ACVR1,3.2826,4.0892,2.5658,1.177,2.5263,3.9308,4.0645,3.0568,3.9496,3.7138,3.417,2.6873,3.6532,3.6172,3.0428,3.0602,3.5111,3.7982,3.2929,3.5851,4.7044,2.9167,3.6793,3.027,4.1668,3.868,4.5946,4.4926,3.3047,2.2144,4.5104,3.4358,3.2557,5.0674,3.772,4.0833,3.4411,3.055,4.9928,2.1213,3.7127,2.9984,3.8023,2.0535,3.7335,3.4088,3.7182,4.1053,2.9488,4.2404,3.4424,3.2343,3.136,3.1523,1.8996,4.2781,3.4398,3.6589,3.5706,2.8622,3.0876,3.945
ACVR1B,4.7165,5.1559,3.728,3.755,3.927,4.5243,5.2464,4.3513,4.5736,4.6247,4.327,3.9636,4.6136,4.4628,4.5311,4.284,4.7345,4.4861,4.2419,4.9723,4.7148,4.4156,4.7165,4.0037,5.0964,4.7544,4.4654,4.9681,4.6012,3.867,5.6194,4.4595,3.9654,4.9346,5.3176,4.2743,3.9838,5.044,3.0995,4.0807,4.2381,4.3688,4.7651,3.7709,4.2563,4.7464,4.4964,4.8465,3.6393,3.1924,3.5694,4.5632,4.2204,4.3632,4.1128,5.1256,4.5976,4.504,4.9973,4.2327,3.9022,4.7115
ACVR1C,-0.9971,-0.2328,0.6239,-4.035,-1.7322,3.1327,0.6425,-2.3147,1.7954,-1.9379,-0.5125,-1.9379,0.6517,1.8604,-1.4305,-3.1714,-0.8339,1.4756,1.8484,1.2023,2.694,-2.8262,-2.2447,-4.035,-5.0116,3.3563,-4.035,-2.4659,-3.458,-3.458,-4.035,-2.6349,1.0642,3.5923,0.4125,3.5249,-0.8599,0.9935,-4.2934,-3.1714,0.7058,-9.9658,0.2998,-9.9658,-2.0529,-0.3022,-4.035,-3.0469,-2.3147,-3.816,-1.8314,-0.3201,-2.6349,-1.1172,-0.6193,1.4547,-0.3383,0.6145,-2.114,-3.6259,-2.9324,2.2082
ACVR2A,0.6332,1.4065,0.4761,-0.4325,0.7233,0.9642,1.6512,0.8726,0.605,1.8323,1.3051,0.6425,1.7273,0.679,0.6239,1.2394,0.9935,1.9188,0.688,1.412,1.2455,1.1897,0.3685,0.8647,1.6327,1.0007,2.1734,1.6281,0.5859,-0.013,2.108,1.0983,0.6699,1.9786,1.5998,1.46,0.7748,1.0079,0.8883,0.0718,1.4962,0.8488,1.7786,0.0014,1.4281,1.7141,1.0983,1.8242,0.9038,1.334,1.105,1.2756,0.9419,0.547,-0.1187,2.236,1.2023,1.2209,0.5069,0.4125,0.3796,1.2696
ACVR2B,-0.4719,-0.2845,-0.7834,-1.6394,0.03,-0.1187,0.6239,-0.0277,-0.4921,-1.3921,0.03,-0.4521,0.3573,0.2998,-0.0725,-0.394,-0.0574,1.5316,0.044,-0.4131,0.0158,-0.1345,-1.0862,-0.2671,-1.0559,-0.1345,-0.3752,0.0014,-0.013,0.1257,-0.7108,0.4016,-0.8863,-1.3548,-0.5756,-0.4325,-1.3548,-0.1504,0.4967,0.434,0.6699,-0.394,0.1519,-0.4131,0.2522,0.7233,-0.0574,-0.8084,-0.2328,0.03,0.1903,0.2154,0.2642,-0.013,-1.5522,-1.9942,-0.5756,-0.6416,-0.013,-1.1488,-0.3566,0.434
ADAM17,0.7999,1.6327,0.4552,-1.3548,0.2762,1.4911,1.5064,0.9935,1.595,3.0893,1.5661,0.9862,1.7912,1.1897,0.5859,1.7575,1.1641,2.2082,1.2023,1.6695,2.8701,2.108,0.4761,1.2394,2.0325,0.9568,2.826,1.9149,0.8647,-0.4325,2.6255,1.4704,1.9859,1.6374,1.7185,1.7532,1.6512,1.8722,4.3009,1.412,1.5064,1.0363,1.9264,0.2998,1.683,1.9786,1.4335,2.8096,1.2023,2.1988,1.5709,1.595,1.3167,0.7999,-0.9971,2.7657,1.7316,1.8363,0.5859,0.8246,0.7579,1.4494
ADCY1,4.958,-5.0116,4.4128,2.6019,4.5374,2.6783,3.1604,1.7954,-1.5522,2.9637,2.2753,2.6783,2.0395,3.208,2.5061,-4.035,1.4859,-2.8262,-0.9406,1.0983,1.7489,4.2743,-1.5105,6.132,2.3508,4.5034,3.0978,-0.1993,3.47,3.2692,-0.9406,3.3221,-1.2828,2.2693,4.7049,1.0711,4.8565,4.4169,-2.3884,3.7171,3.4264,4.8207,-0.7346,6.6959,1.3109,-1.9379,2.7183,2.685,3.3591,3.5572,-2.8262,2.874,0.2998,5.5192,4.0935,3.9552,3.7443,2.3592,4.067,4.6543,2.7679,2.982
ADCY10,-5.0116,-4.035,-6.5064,-3.816,-5.0116,-9.9658,-3.1714,-4.2934,-3.816,-4.6082,-3.816,-4.2934,-3.1714,-3.6259,-5.5735,-2.9324,-4.6082,-4.035,-4.6082,-4.6082,-4.6082,-5.5735,-3.816,-9.9658,-4.6082,-4.6082,-5.0116,-5.5735,-5.0116,-6.5064,-6.5064,-6.5064,-4.2934,-3.3076,-3.3076,-5.5735,-6.5064,-2.2447,-9.9658,-3.3076,-4.2934,-6.5064,-3.816,-2.6349,-3.6259,-5.0116,-3.816,-3.3076,-6.5064,-1.7322,-5.0116,-3.816,-9.9658,-3.1714,-2.0529,-4.6082,-6.5064,-4.6082,-2.7274,-3.816,-6.5064,-6.5064
ADCY2,-6.5064,-9.9658,-6.5064,-9.9658,-1.8836,-5.5735,-9.9658,-3.3076,-9.9658,-2.0529,-4.6082,-4.035,-9.9658,-9.9658,-5.0116,-9.9658,-6.5064,-9.9658,-9.9658,-4.2934,-2.6349,-1.0559,-9.9658,-5.0116,-6.5064,-9.9658,-3.1714,-5.5735,-5.5735,-6.5064,-5.0116,-9.9658,-6.5064,-3.816,-9.9658,-3.816,-9.9658,-9.9658,-2.7274,-4.035,-9.9658,-9.9658,-4.035,-9.9658,-4.6082,-1.4699,0.9568,-6.5064,-6.5064,-3.1714,-6.5064,-5.5735,-4.6082,-4.2934,-9.9658,-6.5064,-9.9658,-3.6259,-9.9658,-3.0469,-5.0116,-4.2934
ADCY3,2.1574,1.0293,2.1798,1.9073,1.5064,2.1606,1.0007,1.9302,2.8381,4.1086,2.2783,1.5064,1.8078,2.2931,1.9527,1.949,2.6325,1.5612,2.3816,2.7357,3.8461,1.8564,2.2872,2.3926,1.7702,1.3846,2.6487,1.6649,0.7407,2.2603,1.0293,1.8119,2.3308,2.1798,2.4597,1.7403,2.0604,2.1734,6.2178,3.8808,1.9822,1.3511,2.1444,2.2421,2.9893,2.1638,1.0711,2.2113,2.5363,4.8978,3.8591,2.2603,2.59,3.055,1.6512,2.6579,1.6045,3.1179,2.3871,2.1541,2.108,1.7053
ADCY4,1.1316,-0.3752,0.4967,2.362,-0.2671,0.4865,-0.5543,0.3346,2.609,3.1045,1.0847,-0.5332,0.7233,0.5069,0.3796,-0.7108,1.5854,-0.4921,1.3846,0.8805,3.0515,0.5955,-0.1187,1.9149,0.3907,-0.2498,0.9343,0.8961,0.2642,0.8805,1.4011,0.688,1.4228,-1.0862,1.5806,1.6281,1.5758,0.3573,1.0433,0.2277,1.2209,1.4859,1.3567,1.6785,2.6715,1.2934,0.8488,1.0363,2.0979,1.5563,2.1378,1.5514,2.7336,1.2394,0.8082,1.8363,0.9789,2.4675,0.1124,-0.2671,0.6425,0.6517
ADCY5,4.4364,3.1162,3.2405,-1.5951,-2.2447,4.7258,1.8722,4.0401,1.6604,3.3759,-1.5105,4.2465,0.6517,1.4065,3.5994,4.2914,5.4764,-0.1993,0.0158,4.975,4.4719,2.59,5.3558,1.8201,3.1939,4.9778,3.5287,3.0481,0.8082,-0.8084,3.9261,-0.5332,4.0841,3.8259,3.9022,-1.4699,2.9148,1.9188,-1.5951,0.8568,3.4791,3.2766,0.099,3.5249,0.2029,3.3492,0.3115,2.9562,0.8082,-3.3076,3.864,-0.1504,0.5069,3.6184,2.7161,3.2557,-1.2828,4.5934,5.3133,1.8524,0.679,-1.3921
ADCY6,4.3583,4.5644,2.791,2.7249,3.2435,3.668,4.3499,3.927,4.3169,2.945,3.6657,3.309,3.4358,4.4101,3.836,3.8085,3.9223,4.026,3.7335,3.3759,4.4423,4.4243,4.3406,2.9747,3.4583,3.6669,3.7006,4.0901,4.4135,3.2034,4.7269,3.9108,3.2158,4.2899,4.6171,3.9166,3.3883,3.864,1.0915,4.2609,4.041,2.6738,4.8625,2.5036,4.0269,4.3399,4.3992,3.9737,2.9525,3.0533,2.9338,4.4686,3.9308,3.944,3.3163,4.3162,3.6301,3.6883,4.0584,3.2526,3.5411,4.1145
ADCY7,1.0503,0.0158,-2.2447,-0.7834,-0.8084,0.3796,-0.0725,0.4967,-0.2671,2.2452,0.2277,0.605,0.2029,-1.7322,-0.9971,1.5415,0.4865,-0.1828,-0.8084,-0.2328,0.9268,0.6517,1.4011,1.5563,-0.5973,-0.1993,0.0158,1.0642,0.3907,-2.8262,0.6425,0.5069,-0.5973,-0.9132,2.6487,1.4335,1.5216,2.4883,3.5324,0.3796,0.2277,1.105,0.605,1.1447,2.7422,0.3115,-0.3022,0.9268,-0.1187,2.1313,1.334,-0.2845,1.0779,-1.685,-0.1993,1.884,-1.9379,1.4962,0.03,-0.1828,-1.3921,-1.1172
ADCY8,-9.9658,-5.5735,-9.9658,-6.5064,-3.0469,-6.5064,-9.9658,-6.5064,-9.9658,-9.9658,-4.2934,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-4.035,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,-6.5064,-5.0116,-9.9658,-3.816,-5.5735,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.6082,-9.9658,-9.9658,-5.0116,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ADCY9,1.8957,3.3177,1.1512,0.1257,1.7009,2.1606,2.0183,2.0742,1.7617,1.9968,1.6875,1.4011,0.8568,1.0007,1.0151,1.5013,1.4911,1.334,1.2147,2.1957,2.6185,2.1411,1.5563,0.8488,1.4859,1.125,3.0481,1.4756,2.2019,0.8883,3.5387,1.6327,2.8681,2.3871,2.6441,0.6332,2.8034,2.5188,2.828,2.5756,2.0076,1.2333,2.93,2.5487,1.9712,2.0776,1.9415,2.8301,1.2576,1.3051,0.537,3.2856,1.5514,1.2394,0.7999,2.2421,2.2144,2.0979,3.0074,1.7489,1.7403,1.7995
ADCYAP1,-4.6082,4.9241,-3.458,1.2085,2.5634,4.2943,4.7242,3.1129,7.7165,-0.4521,4.1044,-3.816,-2.4659,-2.7274,1.3454,-3.6259,5.3848,1.6875,-2.8262,0.1648,-2.0529,-0.8863,4.2189,-9.9658,-2.0529,1.5316,-1.3548,6.0231,0.4447,0.8408,-2.3147,0.8408,-2.6349,-5.0116,2.4439,4.9598,3.2112,-6.5064,-2.9324,-1.1811,0.8488,2.1213,6.5281,-1.5522,5.2976,4.4483,0.099,-3.0469,4.9021,-2.4659,5.026,4.6933,4.7597,-4.2934,-1.1488,-5.5735,6.1154,1.6964,-4.2934,3.7475,3.3605,4.4732
