gene_name,TCGA-A5-A1OH-01,TCGA-A5-A2K3-01,TCGA-A5-A2K4-01,TCGA-A5-A2K5-01,TCGA-A5-A2K7-01,TCGA-A5-A3LO-01,TCGA-A5-A3LP-01,TCGA-AJ-A23N-01,TCGA-AJ-A2QM-01,TCGA-AJ-A3BD-01,TCGA-AJ-A3BF-01,TCGA-AJ-A3BH-01,TCGA-AJ-A3BK-01,TCGA-AJ-A3EK-01,TCGA-AJ-A3NG-01,TCGA-AJ-A3OJ-01,TCGA-AJ-A3OK-01,TCGA-AJ-A3OL-01,TCGA-AJ-A3TW-01,TCGA-AX-A2HH-01,TCGA-AX-A3FS-01,TCGA-AX-A3FT-01,TCGA-AX-A3FV-01,TCGA-AX-A3FW-01,TCGA-AX-A3FX-01,TCGA-AX-A3FZ-01,TCGA-AX-A3G4-01,TCGA-AX-A3G8-01,TCGA-AX-A3G9-01,TCGA-AX-A3GI-01,TCGA-B5-A0JN-01,TCGA-B5-A0K9-01,TCGA-B5-A1MS-01,TCGA-B5-A1MW-01,TCGA-B5-A3FA-01,TCGA-B5-A3FB-01,TCGA-B5-A3FC-01,TCGA-B5-A3FD-01,TCGA-B5-A3FH-01,TCGA-B5-A3S1-01,TCGA-BG-A0MK-01,TCGA-BG-A3EW-01,TCGA-BG-A3PP-01,TCGA-BK-A0CA-01,TCGA-BK-A0CC-01,TCGA-BK-A139-01,TCGA-BK-A13B-01,TCGA-BK-A26L-01,TCGA-BS-A0V4-01,TCGA-BS-A0V7-01,TCGA-D1-A2G0-01,TCGA-D1-A3DA-01,TCGA-D1-A3DG-01,TCGA-D1-A3DH-01,TCGA-D1-A3JQ-01,TCGA-DF-A2KN-01,TCGA-DF-A2KU-01,TCGA-DF-A2KV-01,TCGA-DF-A2KZ-01,TCGA-DF-A2L0-01,TCGA-DI-A1BU-01,TCGA-DI-A2QT-01,TCGA-DI-A2QY-01,TCGA-E6-A2P8-01,TCGA-E6-A2P9-01,TCGA-EO-A1Y7-01,TCGA-EO-A22U-01,TCGA-EO-A22X-01,TCGA-EO-A22Y-01,TCGA-EO-A3AU-01,TCGA-EO-A3AV-01,TCGA-EO-A3AY-01,TCGA-EO-A3AZ-01,TCGA-EO-A3B0-01,TCGA-EO-A3B1-01,TCGA-EO-A3KU-01,TCGA-EO-A3KW-01,TCGA-EO-A3KX-01,TCGA-EO-A3L0-01,TCGA-EY-A1GL-01,TCGA-EY-A1GO-01,TCGA-EY-A1GP-01,TCGA-EY-A1GX-01,TCGA-EY-A210-01,TCGA-EY-A2ON-01,TCGA-EY-A2OO-01,TCGA-EY-A2OP-01,TCGA-EY-A2OQ-01,TCGA-EY-A3L3-01,TCGA-EY-A3QX-01,TCGA-FI-A2EY-01,TCGA-FI-A3PX-01,TCGA-H5-A2HR-01,TCGA-K6-A3WQ-01,TCGA-KP-A3VZ-01,TCGA-KP-A3W0-01,TCGA-KP-A3W1-01,TCGA-KP-A3W3-01,TCGA-KP-A3W4-01
ACSBG1,-0.8599,-6.5064,-3.458,0.7832,-4.6082,-4.2934,1.787,-5.5735,-4.035,-6.5064,-2.1779,-5.0116,-4.6082,-4.6082,-0.6643,-2.4659,-0.8599,-0.394,-5.0116,-0.394,-2.6349,-2.6349,-4.6082,-3.458,-2.7274,-5.0116,-1.2481,-1.5522,-3.1714,-5.5735,-3.6259,-4.2934,-2.5479,-3.816,-1.3921,0.3796,-5.5735,-0.6873,-0.3383,-5.0116,1.6604,-3.0469,-3.3076,0.270267550607,-2.46595991451,-1.3733176583,-2.9324,-1.55214534698,-9.9658,-9.9658,-1.3183,-2.8262,0.6969,-5.5735,-0.4521,-1.7322,2.7095,-3.0469,-3.816,-9.9658,-4.6082,-2.7274,-6.5064,-4.6082,-1.5105,-2.3884,-4.6082,-4.035,-1.4305,-3.816,-2.3147,-1.2142,-9.9658,-0.7346,-5.5735,-1.685,-4.6082,-2.1779,3.8218,-5.0116,-5.0116,-2.6349,-0.9686,-5.5735,-4.2934,0.0718,-3.6259,-3.1714,-5.0116,-2.5479,-2.2447,-3.6259,-2.6349,-4.035,-1.8314,-5.0116,-4.6082,-3.458,-1.3548
ACSBG2,-2.3884,-6.5064,-9.9658,-9.9658,-4.6082,-4.035,-9.9658,-4.035,-3.458,-1.8836,-4.2934,-9.9658,-9.9658,-3.458,-4.6082,-4.6082,-9.9658,-2.6349,-3.1714,-9.9658,-3.6259,-1.9379,-4.035,-3.0469,-4.6082,-5.0116,-3.458,-3.3076,-3.0469,-1.8836,-5.0116,-3.0469,-2.2447,-9.9658,-4.2934,-9.9658,-4.2934,-4.2934,-4.2934,-4.035,-4.6082,-9.9658,-3.6259,-0.442237164785,-1.7083878509,-0.758811246759,-9.9658,-0.821105816089,-9.9658,-9.9658,-2.1779,-9.9658,-9.9658,-3.1714,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.9324,-3.458,-2.5479,-2.7274,-9.9658,-9.9658,-0.6193,-3.458,-6.5064,-4.2934,-9.9658,-9.9658,-9.9658,-4.2934,-4.6082,-4.2934,-3.1714,-4.2934,-2.2447,-9.9658,-4.2934,-3.816,-5.0116,-5.0116,-3.458,-1.3183,-4.2934,-4.6082,-4.6082,-9.9658,-9.9658,-4.6082,-9.9658,-2.0529,-6.5064,-3.1714,-5.0116,-4.6082,-4.035
ACSL1,2.9319,4.0884,3.3856,2.1509,3.5779,1.2333,4.9175,3.6972,4.1563,3.3379,2.2051,4.5021,2.6418,5.4002,3.5923,3.9079,3.3869,3.3773,3.3506,3.8886,1.1706,3.3717,4.8625,3.836,3.6101,3.5098,2.8014,3.7302,2.9729,2.2693,2.0147,3.9783,3.011,4.1128,4.1244,3.3047,3.0808,2.6255,5.149,3.0234,2.5388,3.6347,4.0028,3.33716472413,4.13309793548,6.18269233256,4.1145,4.1351061881,0.688,3.0944,2.4675,4.8535,3.4687,2.1213,3.6737,4.7507,2.2901,3.5911,3.838,2.5707,4.3009,4.2095,2.7784,3.8431,3.5086,2.7594,2.2603,2.6828,3.4778,3.9838,3.2127,1.2271,3.2267,3.832,3.4143,3.3814,4.1899,3.0585,4.1555,5.0193,2.7551,3.1765,5.7517,2.8055,5.9456,3.3883,2.8779,3.0654,0.8805,3.4778,2.1147,3.4424,1.4441,3.4277,2.826,3.6125,4.6617,3.1588,3.9478
ACSL3,5.291,3.7603,4.1812,5.0215,4.6294,6.0562,5.4135,5.3961,4.991,4.1194,4.5766,5.849,5.4532,5.9213,5.8736,5.1081,3.38,4.8978,5.114,4.9851,5.178,3.3017,5.3466,4.3499,3.4752,4.9524,4.863,4.3306,5.1807,5.7695,5.2142,5.3027,4.964,5.2627,4.373,4.4913,4.2862,4.866,5.1367,5.168,4.6018,4.8289,5.5401,5.13691450232,4.93240358372,4.77140042487,5.5438,5.36230872573,2.0638,0.7233,5.8087,5.0077,4.1261,4.4364,5.0837,5.1469,4.5129,5.151,5.4539,4.2427,4.8881,4.8851,4.1069,5.0798,5.0436,4.9079,4.2578,4.6921,5.4466,5.6115,4.9002,4.8048,1.7954,5.5059,4.855,4.8279,5.7586,5.1314,5.327,4.0322,5.3263,4.7913,4.866,4.1318,5.0299,4.6148,5.5595,4.306,4.8074,4.7066,2.376,5.554,4.3779,5.0943,5.2939,5.5723,5.6582,4.9117,5.0068
ACSL4,2.9525,2.6647,4.9322,0.9789,2.4117,4.3548,2.5363,3.2973,5.4611,2.0183,2.362,3.3163,3.5645,2.3816,2.9243,3.0181,2.8994,3.483,1.8404,5.1997,2.9413,4.4463,6.984,2.2573,4.1788,1.9895,2.3164,1.8282,2.1638,1.8722,3.1892,2.9205,3.242,3.4061,3.3032,3.9223,2.5338,4.4919,5.7626,3.7919,2.9507,3.5461,4.1986,4.65599683766,6.61339062973,5.2579742244,4.4149,4.10399746258,-0.2159,1.2333,1.0573,4.7619,4.5522,3.0428,2.8681,3.47,0.3685,2.2299,3.2174,1.692,2.3337,4.2335,2.4171,2.8199,2.93,1.3901,2.7657,3.0568,5.2392,5.2899,4.4496,1.7828,2.0912,2.376,3.1765,3.6972,3.1458,4.8269,3.7356,5.2518,3.5839,5.1388,2.3394,2.2783,2.7993,3.8837,4.4739,2.6208,4.9213,2.2753,1.105,2.5338,0.4233,4.1441,2.7972,3.5299,4.9924,6.1052,4.0366
ACSL5,-0.1345,3.5791,6.9775,4.1318,4.8243,4.9865,1.0642,3.0978,2.4518,4.8059,1.4228,3.3119,4.858,4.1061,1.2147,4.5392,4.0198,4.4641,2.5561,2.8055,1.2085,2.7029,-0.9132,4.8719,5.096,-0.7834,3.9783,0.5069,4.1804,4.1178,3.4061,4.3548,2.7636,5.4313,3.002,2.8117,6.4416,5.3459,1.0433,4.2258,4.5072,3.2049,1.4228,4.60176838414,1.4441396346,3.49072464528,5.2709,4.05576116426,3.8531,4.7022,1.0573,2.4171,2.1247,2.128,3.9327,4.3807,2.6371,4.048,4.9045,2.6693,1.3109,2.9618,2.118,1.6045,2.1925,3.833,5.7115,0.4552,3.6172,5.877,4.773,5.1396,4.7846,3.6254,2.7636,3.5791,4.0091,6.9134,3.5596,6.6288,-0.6643,3.2065,1.3225,1.7954,3.9242,2.9413,3.002,1.5854,0.0014,4.3597,2.0535,1.6604,1.6558,1.3623,2.2144,2.9544,4.3126,2.8219,3.2049
ACSL6,-5.98,-6.3466,-6.039899999999999,-8.2361,-6.8909,-7.76965,-8.2361,-6.636699999999999,-8.2361,-7.287,-7.76965,-6.7119,-7.1296,-6.396,-4.3102,-7.76965,-6.25685,-4.1193,-7.76965,-8.2361,-7.287,-6.7119,-4.0688,-7.4887,-6.79585,-8.2361,-6.7119,-9.9658,-8.2361,-6.30035,-7.4887,-6.396,-7.76965,-7.76965,-6.506349999999999,-6.636699999999999,-6.14025,-7.0004,-7.4887,-7.76965,-3.10645,-7.76965,-9.9658,-5.549350909025,-6.7118757721,-4.81846491351,-8.2361,-6.25688283872,-8.2361,-6.8909,-6.79585,-7.1296,-5.1705,-7.4887,-7.0004,-7.0004,-5.5415,-7.287,-9.9658,-7.287,-6.506349999999999,-8.2361,-7.4887,-6.7119,-6.25685,-6.7119,-8.2361,-8.2361,-6.5686,-5.0116,-4.69475,-9.9658,-6.25685,-2.3969,-6.79585,-8.2361,-6.8909,-7.0004,-7.4887,-8.2361,-7.287,-6.039899999999999,-7.0004,-7.4887,-6.396,-6.14025,-8.2361,-7.76965,-4.0607,-6.7119,-7.4887,-6.7119,-7.76965,-7.0004,-2.24635,-7.287,-4.77665,-8.2361,-4.907
ACTA2,7.4185,5.684,6.6794,8.273,8.3274,7.6008,5.5871,8.5642,5.5656,5.5671,5.178,7.3814,6.056,8.0368,8.0293,7.6683,8.2713,7.2231,3.9175,6.6499,8.0944,7.2382,5.4013,3.6018,7.5063,6.7685,10.3654,5.6465,6.7526,3.2557,4.0662,6.6072,4.3674,5.4373,6.0117,4.8435,7.0408,6.733,4.222,5.3013,6.5776,6.7565,8.8352,4.24690459549,5.03147251744,5.48176374906,5.7624,6.48883810197,7.8826,7.8205,4.4868,5.9748,5.14,5.3216,5.235,7.8043,7.0641,4.6497,8.9237,7.6761,7.0431,6.0832,4.8665,8.803,5.1396,4.5021,6.0736,8.0803,8.4342,7.2386,7.8666,7.234,9.2631,9.3037,7.6692,4.4463,5.2843,5.3562,8.0036,5.5107,6.5872,8.7124,4.8048,5.1907,4.9878,7.2712,5.7477,4.1211,6.2432,6.6088,6.6446,5.0229,4.3413,5.0998,3.7741,7.6255,6.8511,5.8724,7.8833
ACTB,10.9554,12.4232,11.8604,12.6128,12.2707,12.0323,11.6643,11.1906,11.4868,12.4215,11.403,11.1893,11.5314,11.87,11.6578,12.3805,11.3895,11.9636,11.7732,11.0229,11.8261,12.7049,11.6871,11.1155,11.9441,11.8877,11.7806,13.3544,13.2721,10.5125,11.2221,11.4785,10.5965,12.0024,11.7575,11.2629,11.5665,11.8318,11.8705,11.3021,10.8379,11.2172,11.2275,10.2387027228,10.501179612,10.2564975483,11.6216,10.1189258143,12.8259,12.7472,11.4721,11.7701,11.394,11.2887,11.3974,11.8999,12.1668,12.3845,12.5975,11.8738,11.7993,10.9106,11.7708,12.2341,11.4049,11.1292,11.9293,12.2296,11.5275,11.6519,12.5259,12.375,13.6924,11.5604,11.6572,11.0816,12.1355,12.8385,12.177,11.735,11.7721,11.2164,11.1288,10.7732,10.9212,11.2571,11.476,9.7916,10.7805,11.8525,10.7116,11.0899,11.6387,11.3125,10.5643,10.9766,11.928,12.208,11.4135
ACTG1,11.5107,10.078,11.1915,9.9642,11.7938,10.7027,10.8533,11.8047,10.9047,10.783,11.3566,12.0989,10.8476,11.7072,11.676,10.2984,9.369,11.5124,9.6147,12.0438,11.517,11.4279,9.1273,10.7513,8.8216,9.2834,10.697,11.8343,11.6106,11.1071,11.0491,11.3569,10.7407,12.3305,11.1903,11.8116,9.986,10.501,11.4508,11.0719,10.6958,11.9845,12.1351,10.0950881346,10.7129914722,8.25956777591,11.2604,9.22709169503,10.1871,9.221,11.7277,11.4638,11.1038,10.3912,10.4591,11.1358,10.6996,10.6844,11.5671,10.5493,11.563,10.5518,10.906,12.2826,11.4358,11.185,12.0611,12.5547,11.1269,11.8316,11.5302,11.3502,10.7878,11.017,11.3491,10.9567,10.9921,11.5895,11.3191,11.1259,11.901,11.0118,9.6751,11.0804,10.4975,11.3979,12.3521,12.1626,10.4867,10.0681,8.9226,10.039,10.6712,10.4881,11.8553,10.76,10.2616,10.396,11.0241
ACVR1,3.6838,1.334,3.8054,2.4063,3.1393,3.6089,3.0808,4.1523,4.8007,1.683,3.1572,4.6195,3.7171,4.041,4.5211,3.5086,3.5535,3.573,3.0252,5.9656,3.9746,2.7073,1.5013,3.3105,2.6895,3.7846,3.6994,1.3167,3.8421,3.3177,3.0323,4.1318,2.9911,4.2699,4.2699,3.1685,3.7421,3.6635,3.7006,3.6578,4.0506,3.5073,4.0601,3.88862295282,3.74749983828,3.84055054892,3.5779,4.24264614957,1.4281,1.7009,1.2085,3.5086,2.1988,3.5098,3.6691,3.5224,2.5087,2.8402,3.6486,1.1706,2.6873,2.3732,2.5634,3.7614,3.6804,2.8661,4.306,4.5838,3.4318,4.8355,3.1733,0.9568,0.7146,3.7815,3.2722,4.0171,4.026,3.3759,3.5535,3.8085,3.2662,4.7181,3.0637,2.6895,2.7889,4.1962,5.14,3.38,3.5621,3.2973,0.4552,3.1955,1.7141,3.47,3.8481,3.7345,2.6738,2.8838,4.3285
