gene_name,TCGA-OR-A5J2-01,TCGA-OR-A5J3-01,TCGA-OR-A5J6-01,TCGA-OR-A5J7-01,TCGA-OR-A5J8-01,TCGA-OR-A5J9-01,TCGA-OR-A5JA-01,TCGA-OR-A5JP-01,TCGA-OR-A5JR-01,TCGA-OR-A5JS-01,TCGA-OR-A5JT-01,TCGA-OR-A5JV-01,TCGA-OR-A5JW-01,TCGA-OR-A5JY-01,TCGA-OR-A5JZ-01,TCGA-OR-A5K0-01,TCGA-OR-A5K1-01,TCGA-OR-A5K3-01,TCGA-OR-A5K4-01,TCGA-OR-A5K5-01,TCGA-OR-A5K6-01,TCGA-OR-A5K8-01,TCGA-OR-A5KO-01,TCGA-OR-A5KU-01,TCGA-OR-A5KW-01,TCGA-OR-A5KX-01,TCGA-OR-A5KY-01,TCGA-OR-A5KZ-01,TCGA-OR-A5LD-01,TCGA-OR-A5LG-01,TCGA-OR-A5LH-01,TCGA-OR-A5LJ-01,TCGA-OR-A5LK-01,TCGA-OR-A5LL-01,TCGA-OR-A5LM-01,TCGA-OR-A5LN-01,TCGA-OR-A5LO-01,TCGA-OR-A5LP-01,TCGA-OR-A5LS-01,TCGA-OR-A5LT-01,TCGA-OU-A5PI-01,TCGA-PA-A5YG-01,TCGA-PK-A5H8-01,TCGA-PK-A5H9-01,TCGA-PK-A5HA-01
ACSL1,4.4324,3.9242,2.0707,5.0717,6.801,5.2407,3.5815,5.131,4.6668,3.8611,5.2597,5.4858,4.0679,2.5112,3.8601,4.1756,3.2929,3.1261,5.6247,4.9364,5.3692,3.8033,4.0748,4.6077,5.0081,3.8886,5.7557,3.5682,3.1095,4.8385,5.4706,4.2684,4.47,2.5437,3.6883,2.9875,4.9709,3.7313,5.0197,4.0532,5.8166,3.6347,2.8034,4.1946,4.0696
ACSL3,5.1111,4.2297,4.1376,5.1534,5.4081,4.3278,5.0497,5.2036,4.7082,4.8007,4.9477,4.5808,5.0875,6.2733,5.0773,2.7139,3.866,3.1212,4.6674,6.3176,4.837,2.7868,4.6514,4.085,5.1202,3.7603,4.6195,5.479,1.2271,4.3513,5.2215,3.492,3.4358,5.1293,4.701,2.7805,4.5034,4.8248,4.9704,4.2578,4.926,4.2862,3.2174,4.2465,3.6451
ACSL4,3.4765,5.7693,5.1823,3.652,3.1987,3.4451,5.3796,3.7898,5.8189,4.9444,5.5429,5.6525,4.9896,5.0237,6.0321,4.1053,4.905,4.7143,5.1985,3.0842,4.562,3.6555,5.0488,3.8491,5.7798,1.8524,3.4933,3.1079,0.3796,5.0833,5.7882,4.3688,4.2142,5.0255,5.1465,4.795,4.2676,6.0845,4.4384,5.3169,4.8269,5.3349,5.8849,5.6699,4.9322
ACSL5,0.5568,-0.7834,1.2696,0.2154,3.2766,0.5069,-0.9132,-0.6643,0.346,-0.2498,2.6602,1.412,-0.0277,-0.3201,3.5035,-0.2159,1.5902,-0.9406,2.8916,-0.6643,-0.8339,-1.0559,-1.6394,-1.685,-0.8599,0.0014,-0.2671,0.4761,-1.685,-0.0277,0.1257,0.1257,0.6425,-1.4699,-0.9686,-0.0877,-2.0529,1.2696,-0.2159,-1.1172,-0.5125,1.0711,0.7664,4.7285,0.688
ACSL6,-3.8189,-2.2079,-0.4768999999999999,-5.849,-6.25685,-1.3862499999999998,-5.73815,-5.8986,-4.13245,-5.67895,-4.92005,-0.0811999999999999,-1.88,-2.22425,-6.07185,-4.4971,-4.7659,-4.3571,-5.3623,-2.0487,-6.25685,-6.177099999999999,-4.8448,1.378,-5.4532,-6.3466,-3.7375,-4.05075,-5.0743,-7.0004,0.3575500000000002,-4.32455,0.42645,-5.26005,-4.2529,-4.20475,-0.35595,-3.71105,-3.14155,-4.31305,-4.36625,0.4233499999999999,-4.64795,-5.8026,-4.8941
ACTA2,6.155,5.7049,4.1764,6.6437,6.6624,5.5687,7.3695,6.141,5.9764,6.0101,6.6469,6.779,6.033,6.6275,5.251,6.3029,7.1245,4.4263,4.2965,5.0977,5.5829,6.141,6.7403,5.3162,6.5905,5.5426,6.2273,6.1965,5.3719,6.6953,5.5871,5.114,4.853,4.431,4.479,4.9132,7.3886,6.5794,4.4861,4.957,7.3648,6.0036,5.9129,8.045,6.6267
ACTB,10.6957,10.5764,10.2895,10.4626,12.0098,10.0887,11.2351,10.3899,11.2386,10.1296,11.2166,10.9771,10.2808,10.6327,10.5018,10.9531,10.9043,10.7279,10.1239,11.244,11.0875,10.6944,11.1345,10.4892,11.0537,11.6172,11.0942,10.7467,11.2328,11.46,10.7873,10.8442,11.5017,10.4073,11.0926,10.9381,9.6254,11.0654,10.0653,10.5089,10.6726,11.2127,11.3604,10.351,11.0995
ACTG1,10.691,10.1168,7.3186,10.3981,10.5915,10.754,9.5932,11.2236,11.1842,9.3242,10.4885,10.3622,9.1556,9.6217,10.8396,7.7167,9.5435,8.9547,10.6047,11.0072,11.0785,8.8317,9.8457,10.6584,9.6788,11.049,10.0347,10.5681,9.4976,9.9169,8.7429,10.0657,9.9555,10.4353,8.7484,9.6501,8.6649,10.421,8.7301,11.545,9.4925,10.6225,9.5806,9.8837,10.9668
ACVR1,3.7356,2.2931,2.0147,2.4171,5.4774,2.7615,2.8681,2.7401,3.0376,2.2663,3.7678,3.2158,1.8683,2.6738,2.9469,3.1556,2.7847,0.9268,3.2602,2.7636,2.3423,1.4547,2.2175,2.5288,2.4727,3.2405,1.8643,2.4805,0.7058,2.909,2.167,1.7141,1.9968,3.2692,2.6043,1.674,2.6533,3.1572,1.1833,3.2481,2.9281,3.3814,2.1734,4.0584,2.9071
ACVR1B,3.5851,3.6312,3.0876,2.8622,3.3925,3.6207,4.041,2.376,3.4251,2.2783,4.3349,4.0601,3.8461,5.051,3.2885,2.9784,2.9243,2.4332,4.6358,3.2557,2.3479,3.3278,2.3019,4.1595,3.9089,3.4371,2.7117,2.1988,2.7401,2.1638,3.833,3.2374,3.245,3.2143,4.9787,2.0289,4.0593,3.4881,3.7061,3.0358,4.0445,2.3926,5.0104,5.9505,3.2602
ACVR1C,-5.0116,-4.035,-9.9658,-5.0116,-1.5105,-5.0116,-4.6082,-5.0116,-3.816,-5.5735,-3.1714,-2.5479,-5.5735,-3.0469,-9.9658,-9.9658,-5.5735,-5.0116,-3.458,-4.6082,-4.6082,-6.5064,-3.6259,-5.5735,-3.1714,-6.5064,-6.5064,-5.0116,-9.9658,-5.5735,-1.3548,-6.5064,-2.1779,-6.5064,-2.114,-4.6082,-3.816,-4.035,-3.6259,-4.2934,-3.816,-2.0529,-3.816,-5.0116,-4.2934
ACVR2A,0.8883,0.5859,1.6466,0.5955,2.8582,2.1862,1.0847,1.2696,0.7146,0.1388,0.6969,0.4233,0.9038,0.6517,0.434,-0.0277,-0.0725,-0.0425,1.4494,0.9038,0.5271,0.1519,0.679,1.0847,1.0433,2.4649,1.1184,0.5271,-0.3201,1.1316,1.0847,-0.1993,-0.1504,1.4547,0.8883,-0.5125,1.5266,-0.5543,1.5165,1.5316,2.2175,0.7664,0.8327,2.2783,-0.3566
ACVR2B,1.5064,-0.6193,0.8961,-0.4325,-0.4719,-0.3022,0.4233,-1.7809,1.1897,1.0983,1.6512,1.766,-0.6416,1.7575,0.5859,0.3231,-0.1187,-0.5125,1.4962,0.4967,0.346,-0.5756,0.6969,-0.0425,-0.2498,0.9191,-1.0862,1.125,-0.5543,1.2023,1.3051,0.8647,1.2756,0.9935,-0.5332,0.547,0.6145,0.0014,-0.0725,1.0079,-0.3201,1.1316,0.6425,0.9716,0.5859
ADAM17,2.9432,1.6512,1.5709,2.3164,3.4102,2.4063,1.6234,1.7786,1.0642,2.1766,1.2756,2.0776,1.7009,3.0323,1.3956,1.3567,0.7146,-0.1665,1.2455,1.8119,1.4859,-0.3566,1.2516,0.5271,1.4011,0.679,2.118,3.0181,-0.9132,0.3796,0.2881,1.7446,0.0718,1.1117,0.8408,-0.8599,1.0573,1.7828,1.3956,0.4233,2.0325,1.3623,0.8568,2.9562,0.434
ADCY1,-3.3076,-2.114,-4.2934,-1.3548,3.1765,-1.2481,-3.0469,-3.816,-2.5479,-1.7322,-4.035,-3.1714,-2.3884,-1.4699,-4.2934,-2.0529,-1.7809,-4.2934,-4.035,1.3791,-2.8262,-1.5522,-0.6643,-5.0116,-2.114,-4.6082,-2.4659,-3.1714,-2.9324,-4.035,-2.7274,-1.685,-5.0116,-6.5064,-2.9324,-5.5735,-0.5332,-2.3884,1.9034,-6.5064,0.2762,-2.9324,-4.035,2.9875,-3.3076
ADCY10,-5.5735,-4.6082,-6.5064,-4.035,-2.5479,-4.6082,-2.9324,-4.035,-3.0469,-2.2447,-3.3076,-4.2934,-2.9324,-2.6349,-6.5064,-2.6349,-4.035,-5.0116,-5.0116,-6.5064,-3.458,-3.816,-1.8314,-3.458,-3.458,-4.2934,-2.3147,-3.816,-5.0116,-3.6259,-1.8836,-3.816,-6.5064,-1.8314,-6.5064,-1.9379,-2.1779,-5.0116,-3.0469,-3.6259,-5.5735,-4.2934,-1.5105,-5.0116,-2.7274
ADCY2,-0.8863,-4.6082,-9.9658,-9.9658,-3.458,-6.5064,-3.816,-4.035,-6.5064,-9.9658,-3.458,-6.5064,-9.9658,-2.8262,-5.5735,-6.5064,-9.9658,-3.3076,-3.816,-4.6082,0.7407,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-2.5479,-1.5951,-5.5735,-5.5735,-5.0116,-5.0116,-0.9132,-5.0116,-6.5064,-6.5064,-6.5064,-0.9132,-2.2447,-1.0559,0.3796,1.6281,-6.5064,-3.6259,-9.9658
ADCY3,5.1526,4.7512,7.3439,4.843,5.2597,3.1749,3.6359,2.59,2.5188,3.1228,2.4623,2.0004,1.9226,4.1636,1.9638,5.5085,4.7688,1.5806,3.6578,5.138,1.5902,3.2707,4.7772,2.8178,0.7146,1.683,1.8957,5.6139,4.1458,3.3619,3.4237,4.4384,2.8562,2.6962,3.4116,1.7097,3.5486,3.4713,2.3564,1.3397,2.6556,2.8622,5.0989,2.8341,3.0533
ADCY4,1.3679,-0.6416,2.3677,1.0007,1.4228,1.1897,0.1519,0.7664,0.2881,0.4865,1.4547,0.3573,0.4865,0.044,0.0014,-1.9379,1.8683,-1.6394,0.1519,-0.0425,0.058,-0.2498,0.2642,-0.8599,-0.5973,1.0711,0.2277,1.7786,0.9419,0.3573,0.517,0.7748,0.7058,-0.5543,0.0158,-0.1828,-0.9406,1.8282,0.3573,-0.6193,0.24,1.9111,0.3907,1.9302,1.3791
ADCY5,-0.394,-1.4305,4.1523,-1.0262,-1.7809,-1.1811,-0.0725,-3.458,0.9115,-2.9324,-2.7274,-3.1714,-0.7588,-4.035,0.3115,-3.1714,0.2522,0.2277,-0.7108,-4.035,-2.0529,-3.0469,1.9749,1.3454,-1.7322,-4.2934,-2.0529,-2.2447,-2.8262,-3.0469,1.2992,2.8341,1.9638,-2.9324,0.2029,-1.4305,-0.8863,-1.0262,-1.0862,-2.6349,-1.5522,-1.3183,1.1512,6.2681,3.5839
ADCY6,5.1371,4.0532,4.4516,1.9675,3.154,3.6148,2.826,2.3394,3.981,3.9506,3.6089,2.8199,2.7401,4.5528,3.2065,3.3647,2.5413,1.7786,4.1692,3.705,3.453,-1.9379,2.3423,4.5522,1.6093,1.3735,2.8701,3.8905,1.6187,2.5683,3.6219,3.7656,3.1701,3.2158,3.055,3.6089,3.453,3.449,3.2018,4.5361,3.4804,1.2934,2.7889,4.4595,1.8996
ADCY7,0.9716,-0.7346,-0.2328,-1.5951,2.05,-1.3183,-0.4325,-1.7809,0.4233,-1.4305,-0.3752,2.8442,1.0293,0.2277,-0.6873,-2.9324,-1.2828,-1.8314,-0.8339,-1.0559,-0.1993,-4.2934,1.0642,-2.2447,-2.3884,-0.6643,-0.2671,0.7146,-1.5951,-1.5522,-1.0559,0.058,0.7832,-2.9324,-1.1488,0.099,-0.7588,1.1382,0.346,-1.4305,0.3573,1.1184,-0.8084,-0.1187,0.9493
ADCY8,-6.5064,3.5559,-9.9658,-9.9658,-4.6082,-9.9658,-2.9324,-6.5064,-0.8339,-6.5064,-2.8262,-9.9658,-9.9658,0.0854,-9.9658,-2.4659,-9.9658,-3.458,-5.5735,-9.9658,-3.3076,-9.9658,-9.9658,-4.2934,-3.6259,-6.5064,-4.2934,-9.9658,-9.9658,-9.9658,-6.5064,-3.3076,-2.4659,-3.816,-6.5064,-9.9658,-5.0116,-2.9324,-9.9658,2.4412,-3.3076,0.7916,-6.5064,-9.9658,-9.9658
ADCY9,2.3871,1.5216,0.058,2.2144,1.595,1.8282,1.334,2.3479,1.8078,2.0878,2.236,0.5666,2.3898,1.1447,2.4332,3.1475,0.9191,0.2881,2.5972,1.4011,1.0007,1.1833,2.824,2.8542,1.3735,1.4652,0.8082,1.6187,0.2029,1.4065,1.0433,1.6374,-0.1187,3.1409,1.4808,-0.1504,1.9564,1.8119,2.4492,0.3346,2.9729,2.1541,1.6875,2.4857,1.2992
ADCYAP1,-4.6082,-0.2328,-3.816,-9.9658,-4.035,-9.9658,-1.7322,-5.5735,-5.5735,-9.9658,-4.6082,-6.5064,-9.9658,-5.5735,-2.5479,-6.5064,-1.7809,-4.6082,-5.0116,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-6.5064,-4.6082,-5.5735,-5.5735,-9.9658,-9.9658,-3.1714,-3.3076,-2.8262,-9.9658,-6.5064,-9.9658,-9.9658,-4.035,-5.5735,-5.5735,-5.0116,-3.458,-6.5064,-2.9324,-2.3884
ADCYAP1R1,-3.0469,0.5666,-6.5064,-6.5064,0.679,-1.5522,-5.0116,-3.458,-9.9658,-6.5064,-6.5064,-3.3076,-6.5064,-6.5064,-3.0469,-6.5064,-6.5064,-3.0469,-3.816,-6.5064,-5.0116,-5.0116,-3.816,1.5854,1.2696,-4.035,-2.114,-0.8599,-9.9658,-9.9658,-0.7588,0.7233,-3.1714,-9.9658,-0.6873,-4.6082,2.3077,-3.816,-0.5543,-3.0469,1.3956,-6.5064,-1.3183,-4.6082,-2.2447
ADGRB1,-0.1345,1.2147,-2.4659,-1.9942,-1.9942,7.5285,2.5804,-2.5479,-2.8262,-2.4659,-2.114,-3.6259,0.6239,-2.5479,-3.458,-2.1779,-2.0529,-1.9942,-3.1714,1.1706,3.6184,3.3061,0.4761,5.6124,3.2647,-2.6349,4.7066,-2.114,0.6699,-1.0559,1.3511,4.4771,-5.0116,-2.9324,-0.5756,-3.458,4.5934,-4.6082,3.1813,-2.5479,5.4327,0.1903,-1.5105,-3.816,-6.5064
ADIPOQ,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
ADIPOR1,6.6109,5.2736,5.7858,6.0661,5.5607,4.9792,5.9343,5.888,5.4689,6.3311,5.5693,6.0101,4.7991,6.2922,5.3248,5.197,4.8968,4.6781,5.55,6.4704,5.7277,4.479,5.6165,5.3733,5.2877,5.9598,5.1002,5.6291,5.1724,5.6642,5.4712,5.1696,5.0104,5.9798,5.0153,5.1784,4.9668,5.2888,5.8151,5.3381,5.1314,5.323,5.7342,5.4702,5.7167
ADIPOR2,5.5327,6.133,6.7682,5.5583,4.9055,5.8001,5.8858,5.7461,5.7978,5.8199,5.3995,5.5638,7.2665,6.6685,5.3498,6.5577,5.0777,4.2548,5.6761,5.4986,5.8677,5.4887,5.1934,5.8731,5.383,6.3205,5.9937,5.8729,4.7274,5.5024,7.3224,5.323,4.5988,6.7381,4.9547,5.3505,5.153,6.2054,6.1924,5.542,6.429,5.2567,6.1326,5.8922,4.9732
ADORA1,0.6608,0.605,-1.7322,1.0433,-0.0725,-0.3201,1.5661,-0.8599,0.3685,0.8488,-0.4719,0.5568,-2.4659,2.233,-2.2447,-1.3548,-0.1665,-3.816,-1.5105,0.2762,1.4494,-1.1811,-0.6193,-0.7346,0.3346,1.3846,-1.5951,-2.5479,-3.458,-2.9324,2.4649,1.2636,-1.9942,-2.4659,0.0854,-2.6349,-0.8339,-1.1811,-0.7834,-0.5332,0.346,-1.9942,-2.7274,-4.2934,0.346
ADORA2A,0.3115,-0.1504,1.3225,0.3231,1.5216,0.9038,0.7832,0.6239,0.1388,0.5859,-0.1187,-0.3201,0.3573,0.8408,0.7321,-0.5332,1.1512,-0.2498,0.2762,1.0363,-0.6873,-0.4325,0.0014,0.1388,0.2881,0.4447,0.4125,2.667,0.8883,0.4125,0.537,0.434,0.3231,0.1257,0.537,-0.8339,0.4125,0.7321,-0.5756,-1.9379,-1.0262,0.9343,0.7233,-0.0725,-0.0877
ADORA2B,-1.1488,2.4753,-1.5951,1.8524,2.7805,-1.4305,-0.0725,1.9149,-0.1665,2.5634,-1.8314,-2.1779,-3.6259,1.674,-1.1172,-2.4659,-3.0469,1.595,-4.2934,0.517,0.6608,-9.9658,0.5069,2.233,-0.4131,-1.5105,-0.6873,3.1491,-2.8262,2.4675,-1.3921,0.044,-2.6349,3.3842,0.6239,-0.6193,1.1706,1.46,0.1519,2.3926,-0.3201,0.2154,-1.3921,-0.8863,-0.3752
ADORA3,-1.7129,-0.2250499999999999,2.75995,0.46445,3.95045,-1.51275,1.3446,0.358,0.7682500000000001,-0.7194499999999999,-0.97185,4.5214,1.6642,1.93935,0.8775000000000001,-0.0278499999999999,-1.81125,1.9361,-1.5413,1.2881,2.7286,0.4939,-0.9751,0.6527000000000001,0.50345,0.5641499999999999,2.7446,0.7647499999999999,-3.00015,2.98455,2.027,0.43305,2.21125,0.6805,1.7374,1.19835,-1.29355,1.56255,-0.5665,0.4865,-0.1226499999999999,1.8714,2.46255,-0.32095,2.4186
ADRA1A,-5.5735,-9.9658,-9.9658,-4.2934,-9.9658,-2.114,-6.5064,-9.9658,-2.7274,-9.9658,-2.5479,-3.0469,-9.9658,-3.3076,-9.9658,-9.9658,-5.5735,-9.9658,-3.816,-1.5951,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-4.2934,-1.9379,-5.5735,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-5.5735,-6.5064,-5.5735,-5.5735,-9.9658,-5.5735,-6.5064,-3.458,-9.9658,-3.0469,-4.2934
ADRA1B,0.5069,0.4552,-1.1488,0.8327,-0.5973,-0.5332,0.2029,-0.6193,-0.7346,-3.0469,2.5707,-0.0277,0.7058,0.2277,3.8611,-1.0559,2.7161,-0.9406,0.03,-0.4719,0.1776,1.0363,1.7053,3.1212,1.0222,-1.3548,0.9343,-1.2481,-9.9658,-2.4659,0.03,-2.1779,-1.685,-0.7346,0.2998,-4.6082,1.0573,-1.5105,-0.1031,-0.013,2.1378,-2.7274,0.1388,-0.3566,-1.8314
ADRA1D,-4.6082,-4.035,-3.816,-4.2934,-3.1714,-4.2934,-2.114,2.4753,-3.6259,-2.8262,-2.3884,-6.5064,-2.4659,2.9186,-2.6349,-4.6082,-5.0116,-9.9658,-5.5735,-2.9324,1.1184,-3.816,-4.2934,-1.8314,-5.0116,-4.6082,-4.035,-3.6259,-9.9658,-2.9324,-3.6259,-5.0116,-9.9658,-0.5125,-1.8836,-4.6082,-4.2934,-2.0529,-4.2934,-4.035,-1.5951,-4.6082,-9.9658,-4.035,-4.2934
ADRA2A,3.8818,-3.458,-2.4659,0.0718,-1.8314,4.4277,2.6067,-0.6873,-0.7588,-1.5951,-4.2934,0.7664,-1.0862,-2.6349,-9.9658,-3.6259,-1.7322,-1.3921,-1.1811,1.5758,-1.9942,3.055,1.8564,3.7302,3.4674,4.5355,2.6828,2.7205,0.8408,2.0395,1.3283,0.346,2.2723,0.5763,2.6067,-5.5735,4.1474,-1.5522,0.3346,3.8147,3.5187,-0.7834,-0.013,-1.3183,-0.5543
ADRA2B,0.4125,-0.8863,2.4171,0.2154,0.5069,1.2756,1.3567,-1.1172,1.412,-1.685,-0.5756,1.6327,0.4447,-0.013,-0.3022,-1.685,0.8082,-0.0725,1.0363,-0.7346,-1.0559,0.9935,2.4144,0.1388,0.5271,-0.7834,-2.1779,0.4233,-1.9379,-0.3383,1.177,-0.0877,-0.5756,0.4016,2.3564,-2.3147,1.0642,0.5069,1.7141,-2.4659,-0.7108,-1.3921,3.9242,-0.0877,-2.0529
