gene_name,TCGA-N5-A4R8-01,TCGA-N5-A4RA-01,TCGA-N5-A4RD-01,TCGA-N5-A4RJ-01,TCGA-N5-A4RM-01,TCGA-N5-A4RN-01,TCGA-N5-A4RO-01,TCGA-N5-A4RS-01,TCGA-N5-A4RT-01,TCGA-N5-A4RV-01,TCGA-N5-A59E-01,TCGA-N5-A59F-01,TCGA-N6-A4V9-01,TCGA-N6-A4VC-01,TCGA-N6-A4VD-01,TCGA-N6-A4VE-01,TCGA-N7-A4Y0-01,TCGA-N7-A4Y5-01,TCGA-N7-A4Y8-01,TCGA-N7-A59B-01,TCGA-N8-A4PI-01,TCGA-N8-A4PL-01,TCGA-N8-A4PM-01,TCGA-N8-A4PN-01,TCGA-N8-A4PO-01,TCGA-N8-A4PP-01,TCGA-N8-A4PQ-01,TCGA-N8-A56S-01,TCGA-N9-A4PZ-01,TCGA-N9-A4Q1-01,TCGA-N9-A4Q3-01,TCGA-N9-A4Q4-01,TCGA-N9-A4Q7-01,TCGA-NA-A4QV-01,TCGA-NA-A4QW-01,TCGA-NA-A4QX-01,TCGA-NA-A4QY-01,TCGA-NA-A4R0-01,TCGA-NA-A4R1-01,TCGA-ND-A4W6-01,TCGA-ND-A4WA-01,TCGA-ND-A4WC-01,TCGA-ND-A4WF-01,TCGA-NF-A4X2-01,TCGA-NF-A5CP-01,TCGA-NG-A4VU-01,TCGA-NG-A4VW-01,TCGA-QN-A5NN-01
ACSBG1,-2.2447,-3.3076,-3.1714,-4.2934,-2.9324,-1.8314,-0.394,-0.6873,-4.2934,-2.3147,-0.5332,-2.8262,-4.6082,-1.9379,0.4865,-4.2934,-2.9324,-3.3076,-0.1504,-4.6082,-2.114,-4.035,-2.7274,-1.7322,-2.9324,-3.816,-1.7809,0.688,-2.0529,-3.458,-4.035,-3.1714,-9.9658,0.0718,0.8805,-1.4699,-3.816,-3.458,-3.458,-9.9658,-2.7274,-2.8262,-5.0116,-3.0469,-1.7322,-2.2447,-2.114,-3.816
ACSBG2,-2.8262,-4.6082,-4.6082,-4.6082,-9.9658,-2.6349,-9.9658,-3.3076,-9.9658,-3.458,-3.0469,-9.9658,-6.5064,-9.9658,-4.6082,-3.6259,-3.816,-4.6082,-5.0116,-9.9658,-4.6082,-4.6082,-6.5064,-3.0469,-0.7346,-3.1714,-9.9658,-3.6259,-3.0469,-9.9658,-4.6082,-9.9658,-4.6082,-4.6082,-5.5735,-9.9658,-4.2934,-2.4659,-2.9324,-4.2934,-3.3076,-9.9658,-4.6082,-2.3884,-3.6259,-2.9324,-9.9658,-9.9658
ACSL1,4.0419,3.4007,3.6301,2.6019,3.1653,2.7422,3.0234,2.2813,4.3625,3.002,3.9561,2.9857,3.1409,2.4035,4.4189,3.3407,2.8158,4.1103,1.4281,3.4156,3.6872,2.4779,2.6043,3.3661,3.1095,4.048,4.1628,3.2158,3.7324,2.874,2.4597,3.5608,3.6635,3.9883,4.5699,4.4437,3.1162,5.3241,3.506,5.5008,2.6487,1.9968,3.4318,6.5211,5.7258,5.9966,3.6393,4.5167
ACSL3,5.1478,7.2799,4.839,4.5553,4.3534,4.4013,4.327,3.652,5.6597,4.1169,3.7603,4.8207,4.4377,5.3165,5.0747,5.1692,3.9166,5.2048,4.3082,4.1053,4.4868,5.0308,4.8934,5.8141,5.2204,4.4803,5.5008,5.073,4.0773,4.9603,4.6634,5.3259,4.7323,4.4115,5.5274,5.588,4.6888,4.9141,5.5747,4.853,5.0605,4.1119,4.764,4.6708,6.5035,5.365,4.7945,5.8153
ACSL4,2.1047,2.3366,2.8877,2.1734,1.692,1.3901,1.6875,2.7594,3.7919,0.3796,1.8801,2.6255,3.2389,3.7971,4.3082,3.1717,3.3731,2.5288,1.0079,2.3649,3.7507,2.4623,1.7575,3.2511,2.3337,3.6714,2.7095,3.1112,2.685,1.8363,2.3106,1.5998,2.7227,2.118,3.002,3.6089,3.4817,3.637,3.6242,3.5086,4.427,4.6112,2.5756,4.0858,3.9974,3.2236,5.1934,4.5663
ACSL5,-0.8863,-1.5951,1.6045,2.4412,0.4865,1.6187,-2.1779,-0.0877,0.4447,-0.1031,1.2209,2.0673,-0.5756,-0.1031,2.8361,1.5854,-1.0862,-0.9686,0.2642,3.3814,1.0642,-1.9942,1.3846,1.1184,1.0642,1.4547,2.6371,1.9786,2.376,0.6699,0.1648,0.7146,4.1994,1.2636,-0.6193,1.8996,0.0014,3.1261,-1.7322,2.236,-0.5125,4.1539,-1.4305,1.1512,2.9224,-0.1187,4.1498,1.6374
ACSL6,-6.8909,-4.8099,-2.34035,-5.29255,-7.1296,-7.287,-6.5686,-6.79585,-3.78385,-5.5735,-6.636699999999999,-6.30035,-6.79585,-7.287,-3.30335,-3.5217,-7.1296,-8.2361,-7.287,-5.759,-2.77075,-6.7119,-8.2361,-7.4887,-6.4491,-7.1296,-4.159599999999999,-6.21585,-3.30335,-6.03995,-6.79585,-8.2361,-7.1296,-5.660299999999999,-6.636699999999999,-5.29255,-7.76965,-6.5686,-2.5384,-7.76965,-5.3623,-8.2361,-6.7119,-6.177099999999999,-7.76965,-5.759,-3.8898,-9.9658
ACTA2,6.25,4.9294,4.8299,7.4329,6.5629,7.2563,4.9175,7.2395,5.3313,5.5167,5.3695,5.191,6.4717,5.4064,6.2758,5.1958,6.106,6.6788,3.3925,5.1461,6.9952,5.1752,5.2296,6.0177,10.105,3.3003,7.3725,8.9314,6.6069,7.5889,5.3248,6.3832,5.1583,7.0121,6.6436,7.4709,6.9098,10.5842,5.9341,7.0133,6.4514,7.6547,6.4785,7.7849,9.3185,5.4957,5.6775,8.2599
ACTB,11.2533,10.9353,11.1722,11.9744,11.3209,11.189,11.0,11.7138,11.0415,12.2141,12.0465,12.1388,11.0811,10.7859,11.4076,11.559,12.0527,10.1813,11.6614,11.9067,11.4815,11.3872,11.3668,10.1805,11.2326,10.8875,11.019,10.4464,11.154,10.865,11.5088,11.1019,11.2511,10.7783,9.9892,10.511,11.8206,11.9585,10.6682,11.8521,10.2507,11.6181,10.9751,12.2647,12.0353,9.8637,11.1345,12.249
ACTG1,10.4205,9.9756,10.9187,11.3719,11.0911,10.7213,11.8393,11.5778,11.2282,12.184,10.7887,11.764,12.4447,11.6627,11.7072,10.6329,10.8949,11.1209,11.1901,11.4083,11.6354,11.7956,11.9103,10.7167,11.8125,11.1139,10.3538,11.2238,11.4131,12.0746,10.9689,11.519,11.0502,10.9945,11.4053,9.7981,11.8786,11.2417,12.5624,10.6056,11.4077,12.0983,10.6682,11.7232,10.8752,10.3129,11.6027,11.6741
ACVR1,3.4569,4.1417,3.863,3.3492,3.0515,3.1095,3.4609,4.1954,4.2404,2.9637,3.4556,3.4331,5.2702,3.8935,4.3709,3.8064,2.183,4.1219,1.9786,2.2299,3.8729,3.6827,2.6114,3.5174,4.4169,4.0722,3.8827,3.8769,4.1595,3.6359,3.6195,3.287,2.0325,4.892,3.7888,4.1859,3.242,4.5053,1.614,3.7083,3.8157,3.7794,3.7773,3.7193,4.5644,4.6977,4.5669,4.404
ACVR1B,3.8013,3.1377,3.7017,3.8269,2.8994,2.6325,3.695,4.9621,4.0242,2.0465,4.4706,2.93,4.4868,4.7565,3.6266,4.2609,2.2482,3.6006,3.1813,2.5213,2.6828,3.5187,3.186,4.7919,3.5923,4.1668,3.1765,4.9566,3.7783,3.208,4.0295,3.4291,2.6533,2.7572,3.9299,3.5287,3.0585,3.3675,2.4908,3.1278,3.4398,3.6861,2.4386,2.5536,3.1685,2.7336,3.7804,1.3623
ACVR1C,-3.3076,-2.0529,-2.3884,-3.458,-3.816,-3.6259,-0.8084,-3.458,0.4016,-9.9658,-2.0529,-4.6082,-0.6643,-1.7322,-2.4659,-1.8314,-9.9658,-2.9324,-6.5064,-5.5735,-0.7588,-5.0116,-5.0116,-2.4659,0.044,-2.6349,-3.6259,-0.6643,-2.114,-3.6259,-3.0469,-3.3076,-1.5105,-2.2447,-2.9324,-3.6259,-5.0116,-1.1811,-4.035,-4.6082,-3.6259,-3.1714,-5.5735,-2.3884,-1.8836,0.4016,-3.3076,-1.2481
ACVR2A,4.1111,4.8415,2.824,2.3222,1.1512,1.6187,3.242,2.7972,2.7422,3.0074,2.4439,2.8219,2.8301,2.4063,2.5996,2.685,0.6608,4.427,2.5263,2.6918,1.9073,2.4279,2.1894,5.0527,3.2915,2.8442,4.0807,3.2343,2.362,4.677,2.3788,4.8233,1.4441,3.3521,5.218,4.4169,2.5756,3.0637,2.0254,3.2662,1.5013,1.1512,3.186,1.1184,3.1179,4.0807,2.3135,2.1638
ACVR2B,1.4494,1.412,0.9268,1.3051,0.3573,1.8444,2.3077,0.8408,1.6466,1.5563,1.9149,1.5758,-0.0277,2.0604,0.8327,1.6466,1.2934,2.1574,1.4335,0.7058,0.7058,1.2696,0.6517,2.8462,1.334,1.4174,1.0433,2.4492,0.7407,1.412,1.8119,2.0183,0.1519,1.0151,2.685,2.0638,0.8961,0.2154,-0.013,0.547,1.1897,0.8726,1.46,0.679,-0.013,1.1447,1.7532,0.3346
ADAM17,3.1145,2.4883,2.8897,1.5612,0.6969,1.9188,3.3911,1.8683,4.0558,1.0642,1.0915,1.1833,4.445,4.594,3.0688,3.3577,1.6466,2.9637,0.8246,1.8683,3.074,3.8471,1.6045,3.6312,2.7139,3.4384,2.4117,3.2662,2.982,2.2723,2.8838,4.0189,1.4704,3.0619,3.7367,3.2885,3.5669,3.9318,3.492,2.5238,4.4067,3.3745,2.3019,2.6602,3.9783,3.7453,2.7679,2.7889
ADCY1,1.4388,0.7146,1.5064,0.03,-1.0559,0.7146,2.8014,1.8242,0.6969,-1.5105,1.2147,0.8327,-0.6193,-1.5105,-0.1828,0.9343,-2.4659,2.3048,-1.8314,-2.6349,-1.8836,0.4016,-0.2671,0.8488,2.5852,-1.1172,1.4494,0.4865,2.876,2.081,-0.4325,2.3451,-1.2481,2.299,1.1897,2.0004,1.5216,-1.2481,3.4183,1.2085,-1.1811,-1.4699,1.9226,0.547,0.0718,0.4016,0.9568,0.6699
ADCY10,-4.2934,-4.035,-3.3076,-4.6082,-0.4521,-4.2934,-3.816,-2.1779,-4.6082,-5.5735,-3.6259,-2.7274,-6.5064,-9.9658,-5.0116,-4.6082,-6.5064,-9.9658,-4.6082,-4.035,-6.5064,-4.035,-3.6259,-3.6259,-5.0116,-2.9324,-4.6082,-4.6082,-3.3076,-3.6259,-4.2934,-3.816,-9.9658,-3.458,-2.2447,-5.5735,-4.2934,-3.816,-4.2934,-6.5064,-6.5064,-9.9658,-3.3076,-2.6349,-3.458,-2.8262,-3.3076,-6.5064
ADCY2,1.7954,2.5112,1.2333,2.4831,0.8164,-4.2934,2.9507,-0.8339,2.0638,-5.0116,2.5683,3.245,3.8259,-0.2671,2.6556,4.3793,-9.9658,2.4063,-2.9324,-9.9658,1.7273,0.044,-1.685,3.3076,3.1637,-1.8836,3.0859,2.496,-0.3383,-0.394,1.5165,-0.8339,-2.3147,2.8877,4.6826,3.0428,2.8341,-1.9942,-4.035,0.8164,-4.6082,-2.3884,2.5137,-3.816,2.2543,4.6554,2.8819,-1.3548
ADCY3,4.7613,5.1879,4.0506,4.9156,4.8595,4.1136,4.281,5.3466,5.3792,4.0645,5.1768,4.1061,4.0549,3.755,4.4829,4.6183,4.466,4.7603,2.93,3.9819,4.1417,3.5124,4.3492,4.1194,4.9727,4.2095,5.1534,4.5754,3.4291,4.673,3.6983,5.6413,3.7443,5.3643,3.864,3.9561,4.0541,4.0322,5.9686,5.5373,3.8759,3.5935,4.9603,4.1482,5.4699,4.2758,3.5498,4.9556
ADCY4,0.9268,-0.7834,0.4761,1.7316,1.2992,2.9186,0.6517,1.5366,0.5568,0.9038,2.578,2.0289,0.5859,1.1184,1.5758,1.5514,-0.0425,0.517,1.7995,0.5859,2.2299,-0.3201,1.8801,1.6512,2.6805,-0.3201,1.5165,0.9568,1.3735,-0.0277,0.9716,-0.0277,-0.4325,2.3222,-0.6873,0.6332,-0.1828,2.5876,-0.4921,2.0111,0.8408,0.8488,1.0711,0.3685,2.1606,0.0854,0.6239,1.7702
ADCY5,2.043,2.8779,2.2663,2.5658,1.2023,1.3283,2.0395,0.537,3.1924,1.5563,2.1411,1.9073,-0.3383,4.613,-0.2328,2.0254,-0.7834,0.346,1.4011,-2.4659,-0.1504,0.2642,0.4865,4.4713,1.3109,4.162,3.0568,3.2389,0.7058,1.334,3.5299,1.4281,-3.1714,4.1692,2.081,2.5972,2.6805,1.5806,1.5854,1.0007,3.4088,0.099,0.3573,-1.685,1.6187,-0.7108,0.8961,1.7786
ADCY6,3.1409,2.0878,4.1612,3.4739,3.417,3.4907,3.716,3.1095,3.4358,3.5022,3.5706,2.4359,3.2602,3.3206,3.7094,4.0357,2.4171,2.8838,2.561,1.9968,3.2496,5.0018,3.5706,4.6514,3.716,3.6405,3.3979,3.3979,3.1327,2.3164,3.4088,2.4571,2.7805,3.5535,3.4609,2.4225,2.7401,3.793,3.1733,2.6715,4.1302,3.6804,3.222,3.1344,3.5424,1.9073,3.9746,2.6624
ADCY7,0.1776,0.517,1.3956,0.4016,1.3567,1.8879,1.2333,1.3956,1.8363,-0.6643,0.099,0.6608,2.1734,1.7786,2.9507,1.0642,0.1648,1.1833,0.3685,-0.1031,0.7407,0.8726,1.0079,2.5707,0.24,2.0638,2.2513,2.7993,2.5363,-1.4305,0.1124,0.0014,0.6425,2.6325,1.6374,1.7995,-0.1345,2.6647,2.2144,1.0151,2.0395,1.5514,0.9493,2.3816,2.2931,2.4727,1.2516,1.2023
ADCY8,-1.2142,-5.0116,-9.9658,0.9191,-3.816,-6.5064,-5.5735,-1.6394,-9.9658,-6.5064,-0.8084,-3.3076,-0.9406,-1.8314,-3.6259,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-3.1714,-0.2671,-2.4659,-4.6082,-2.6349,-9.9658,-2.3147,-2.9324,-2.9324,-9.9658,-6.5064,-3.816,-9.9658,-4.035,-3.816,-9.9658,-9.9658,-5.0116,-3.0469,-4.2934,0.7233,-6.5064,-2.3884,-6.5064,-6.5064,-5.0116,-9.9658,-6.5064
ADCY9,2.0878,1.5115,1.3791,1.8282,0.5763,0.3907,1.412,1.2992,2.118,-0.0725,1.5902,0.5666,0.9862,0.099,2.1798,1.0779,-0.6193,2.578,1.0363,1.0222,0.9862,0.7146,-0.013,3.1179,1.6093,1.2394,2.7636,1.7532,1.6512,1.5366,1.0007,1.787,0.0718,2.4359,2.7161,3.3177,1.177,1.2023,3.1924,1.4547,-0.8339,0.5069,1.9968,2.0076,1.5514,2.5338,3.4156,1.9638
ADCYAP1,-1.1172,-6.5064,-3.3076,-2.114,-9.9658,-5.5735,0.1776,-2.6349,-1.4305,-3.6259,0.9419,-0.8084,0.537,-3.6259,-2.9324,-2.6349,-9.9658,-5.5735,-3.458,-3.816,-3.6259,-0.0277,-3.0469,-4.2934,-2.2447,-3.458,-0.1665,-3.816,-1.1811,-4.035,-6.5064,-6.5064,-6.5064,-2.3147,-4.6082,-1.6394,-6.5064,-2.7274,3.5718,-2.6349,-6.5064,-6.5064,0.7748,-6.5064,-2.1779,-3.816,-6.5064,-9.9658
ADCYAP1R1,0.2154,1.3109,2.2051,-1.3183,0.5568,-0.4325,0.4016,-0.4921,1.1577,-4.2934,-0.2671,-0.3752,-2.1779,-2.114,0.1776,0.3346,-3.3076,-1.3183,0.547,-4.035,1.3051,-0.6193,0.1124,2.4359,0.6699,0.7748,2.0111,-0.9686,-1.9379,-0.3566,-2.5479,0.679,-5.0116,1.6093,1.0503,0.8164,-2.8262,-2.5479,-0.2498,1.2085,-0.4521,-5.5735,1.0573,-2.4659,-0.3566,2.1638,-1.8836,0.9493
ADGRB1,0.058,1.0573,3.6042,1.4281,4.2165,-3.3076,1.4494,3.1442,1.9111,1.766,2.4008,0.4967,-0.394,0.2762,-1.7322,-2.6349,-1.1172,-0.7346,4.3155,-0.6643,-1.8314,0.8805,-1.5522,0.8246,-1.3921,-2.6349,2.3871,1.4808,-0.2159,0.7579,-0.3566,1.0915,-2.9324,2.5061,2.3222,-0.3752,0.7664,-1.3183,4.0756,-0.2498,-0.8084,-3.0469,4.5429,-1.3183,-0.3201,-4.2934,-5.0116,2.2872
ADIPOQ,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-6.5064,4.6236,-5.5735,-3.6259,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658
ADIPOR1,6.3514,5.7345,5.9873,5.2464,6.0133,5.5053,5.8773,5.2312,6.3447,5.3999,5.4832,5.3875,6.6706,6.2242,5.7882,5.7217,5.0734,5.2698,4.5565,5.1716,5.4433,5.3789,4.6798,6.0422,5.6551,5.8659,5.7592,5.096,6.042,5.7716,5.4582,6.067,5.5423,6.0231,6.0523,5.81,5.1643,5.3544,5.6871,5.1684,5.4741,5.7374,5.7263,5.9002,5.9124,6.0142,6.3432,4.9341
ADIPOR2,5.4735,3.9856,4.7431,4.0225,5.018,3.5899,4.5117,4.8253,4.6888,4.041,5.1764,3.8896,4.4122,5.1696,4.2095,4.918,4.0799,4.7464,3.9251,3.5299,3.8105,5.2354,3.66,3.623,5.0862,4.178,3.5572,4.1086,3.9506,4.1384,5.0081,4.2736,4.1078,3.4411,3.8935,4.347,3.1844,4.1531,5.096,2.9802,4.235,4.4894,2.9802,4.5522,4.3827,3.7116,4.0985,4.1036
ADORA1,3.2158,1.9712,2.5852,1.6093,-0.6193,0.9493,2.1541,4.1931,2.1734,0.4865,0.2029,1.4011,0.7999,2.6255,0.8883,1.1447,-2.3884,3.325,0.1388,-1.9379,1.6875,1.4174,0.0854,4.2396,1.8524,3.1228,4.0558,2.296,0.5955,2.6579,2.2543,2.7444,2.4805,1.934,3.5911,3.7378,3.3177,1.7702,1.7185,3.5009,3.2811,3.1261,1.5415,2.043,2.128,0.6969,-0.4719,-0.013
ADORA2A,2.9948,2.3337,1.4756,1.9895,0.8805,1.5709,1.2023,0.5666,1.6785,2.561,2.7444,0.605,0.9642,0.2029,0.8883,1.2815,-0.1828,2.0776,0.7407,0.8408,0.7146,1.0079,0.537,0.8961,1.5266,2.0147,0.7999,2.1013,1.683,1.3567,0.4761,1.3397,2.1925,1.4281,1.8484,1.3791,0.1124,1.125,1.9452,1.4388,0.2762,1.1316,1.1447,-0.0277,1.6281,2.3788,0.0014,2.8055
ADORA2B,2.2872,0.3573,0.8246,1.0293,1.0642,0.0014,1.177,0.1519,1.6695,0.434,1.0293,0.434,0.8408,0.8647,2.6487,0.3907,2.3898,-0.1828,1.0779,-1.1488,2.2482,1.9895,0.1519,2.3592,0.1776,1.1577,1.3567,0.044,2.233,0.4233,-1.5522,0.7407,1.105,0.2154,1.7053,0.605,0.4552,-0.5125,1.4859,1.2934,0.3346,2.93,1.3956,1.766,1.4228,0.8647,1.8879,2.6067
ADORA3,-1.29,-0.43415,0.19405,1.1863,0.4352,-1.2205,-3.17315,-1.2334,0.0781999999999999,0.45535,0.5646,1.40175,-0.62345,-2.69915,0.0095,1.27045,-1.4492,-0.1896,-0.44505,1.48955,1.1478,-0.6942,-0.52755,0.5812,0.8944,0.9406,1.23785,-0.16305,0.8641,-0.4580999999999999,0.3887,0.33205,2.1185,1.22095,0.3031999999999999,1.0436,1.30305,0.4922499999999999,-1.99985,1.5055,-0.944,0.5915,1.60785,1.90795,0.2292,0.632,-0.2717,1.68485
ADRA1A,-4.035,-2.7274,-2.2447,-6.5064,-9.9658,-9.9658,-3.0469,-9.9658,-0.6873,-9.9658,-4.6082,-9.9658,0.9862,-9.9658,-9.9658,-4.2934,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-1.9379,-4.6082,-5.0116,-3.458,-9.9658,-5.0116,-2.3884,0.4016,-9.9658,-5.0116,-9.9658,-9.9658,-0.8863,-9.9658,-9.9658,-4.6082,-3.0469,-1.5105,-5.5735,-6.5064,-9.9658,-4.035,-2.4659,-5.5735,-6.5064,-1.9379,-2.6349
ADRA1B,-1.1811,-2.4659,-2.114,-0.0277,-2.8262,-1.4305,-1.9942,-0.8599,-1.3921,-2.6349,-1.0862,1.2875,-1.4699,-0.4131,-3.1714,0.9568,-4.035,-1.5522,-3.816,-1.7809,-2.114,-0.6193,-0.4719,-2.2447,-0.7346,1.2085,0.0854,-0.7588,-0.8863,-1.8314,-1.3183,-2.5479,-4.035,0.4967,-0.4719,-1.0262,0.2522,-0.0277,-0.8339,-0.6416,3.2158,-4.2934,-1.3183,-2.1779,-0.0425,-1.5522,-2.4659,0.1903
ADRA1D,-0.9406,-1.9379,2.7292,-0.8863,-3.1714,-1.3183,2.0742,-0.7834,-0.4921,-3.816,-0.4719,2.0979,0.4552,-4.035,-0.5332,0.6239,-5.0116,-2.7274,-2.9324,-4.2934,-3.0469,-2.3884,1.0007,-1.4699,0.4016,-2.3884,-2.3147,-1.4699,-1.1488,-2.7274,-0.0277,-0.8339,-4.035,-0.5973,0.1519,-1.3921,2.3164,-0.8339,0.7493,-1.5951,-0.1993,-3.3076,0.8327,0.3907,-0.394,-2.9324,-9.9658,-1.2142
