gene_name,TCGA-18-4721-01,TCGA-18-5592-01,TCGA-21-1071-01,TCGA-21-1076-01,TCGA-21-1081-01,TCGA-21-5782-01,TCGA-21-5784-01,TCGA-21-5786-01,TCGA-21-5787-01,TCGA-22-1011-01,TCGA-22-4591-01,TCGA-22-4607-01,TCGA-22-5471-01,TCGA-22-5472-01,TCGA-22-5473-01,TCGA-22-5474-01,TCGA-22-5477-01,TCGA-22-5478-01,TCGA-22-5480-01,TCGA-22-5482-01,TCGA-22-5485-01,TCGA-22-5489-01,TCGA-22-5491-01,TCGA-22-5492-01,TCGA-33-4532-01,TCGA-33-4547-01,TCGA-33-4566-01,TCGA-33-4582-01,TCGA-33-4586-01,TCGA-34-2596-01,TCGA-34-2608-01,TCGA-34-5231-01,TCGA-34-5232-01,TCGA-34-5234-01,TCGA-34-5236-01,TCGA-34-5239-01,TCGA-34-5241-01,TCGA-34-5927-01,TCGA-34-5928-01,TCGA-34-5929-01,TCGA-37-4133-01,TCGA-37-4135-01,TCGA-37-4141-01,TCGA-37-5819-01,TCGA-39-5019-01,TCGA-39-5021-01,TCGA-39-5022-01,TCGA-39-5024-01,TCGA-39-5028-01,TCGA-39-5029-01,TCGA-39-5030-01,TCGA-39-5031-01,TCGA-39-5035-01,TCGA-39-5037-01,TCGA-43-2578-01,TCGA-43-3394-01,TCGA-43-5668-01,TCGA-43-6143-01,TCGA-43-6770-01,TCGA-43-6771-01,TCGA-46-6025-01,TCGA-46-6026-01,TCGA-56-5897-01,TCGA-56-5898-01,TCGA-56-6545-01,TCGA-56-6546-01,TCGA-60-2698-01,TCGA-60-2708-01,TCGA-60-2709-01,TCGA-60-2710-01,TCGA-60-2711-01,TCGA-60-2713-01,TCGA-60-2719-01,TCGA-60-2720-01,TCGA-60-2721-01,TCGA-60-2724-01,TCGA-60-2725-01,TCGA-60-2726-01,TCGA-63-5128-01,TCGA-63-5131-01,TCGA-63-6202-01,TCGA-66-2727-01,TCGA-66-2758-01,TCGA-66-2766-01,TCGA-66-2767-01,TCGA-66-2770-01,TCGA-66-2773-01,TCGA-66-2777-01,TCGA-66-2778-01,TCGA-66-2781-01,TCGA-66-2782-01,TCGA-66-2783-01,TCGA-66-2785-01,TCGA-66-2788-01,TCGA-66-2791-01,TCGA-66-2794-01,TCGA-66-2795-01,TCGA-66-2800-01,TCGA-70-6722-01,TCGA-70-6723-01,TCGA-85-6175-01,TCGA-85-6560-01,TCGA-85-6561-01
ACSBG1,-6.5064,-4.6082,-3.458,-2.46591983962,-2.9324,0.5271,0.03,-3.1714,-3.1714,-4.6082,-4.035,-2.0529,-4.6082,-0.6643,-3.3076,-5.5735,-2.6349,-1.6394,-4.6082,-5.0116,-3.458,-3.3076,-0.8863,-3.816,-2.3147,-1.5951,-3.458,-6.5064,-3.6259,-1.4699,-0.6873,0.7146,-2.4659,-0.4131,-3.816,-3.816,-3.3076,0.6608,-3.0469,-2.3884,-6.5064,-3.1714,-2.114,-3.3076,-2.4659,-3.3076,-2.5479,-2.3884,0.8568,-1.5522,-3.0469,-1.7809,4.0127,-3.1714,-1.2481,-2.8262,-1.2142,1.1512,-2.3884,-6.5064,-4.2934,2.2663,-2.9324,-5.5735,-4.035,-2.5479,-2.0529,-3.816,-4.6082,-2.7274,-4.2934,-4.6082,-2.3884,-3.1714,-2.8262,-1.8836,-2.114,-1.9942,-5.0116,-4.035,-4.035,-4.2934,-2.114,-3.6259,-2.9324,-3.3076,-2.3147,-2.4659,-4.6082,-3.0469,-4.035,-0.9971,-3.0469,-0.9686,-2.8262,-2.3147,-4.035,-4.2934,-6.5064,-3.816,-0.2671,-6.5064,-4.6082
ACSBG2,-9.9658,-6.5064,-2.6349,-3.81604718973,-3.458,-2.8262,-5.0116,-9.9658,-9.9658,-4.6082,-6.5064,-5.5735,-3.816,-5.5735,-4.2934,-5.5735,-5.5735,-5.0116,-3.0469,-9.9658,-6.5064,-9.9658,-4.2934,-6.5064,-3.458,-3.6259,-9.9658,-9.9658,-4.035,-3.816,-4.035,-2.4659,-3.816,-4.6082,-3.458,-4.6082,-9.9658,-3.6259,-4.6082,-4.2934,-5.0116,-9.9658,-2.9324,-5.0116,-5.5735,-2.3884,-4.6082,-9.9658,-5.0116,-2.4659,-3.3076,-2.5479,-9.9658,-3.1714,-2.2447,-2.9324,-3.816,-0.9406,-3.6259,-4.6082,-4.6082,-5.5735,-9.9658,-9.9658,-4.6082,-5.5735,-4.035,-3.458,-5.5735,-4.035,-6.5064,-3.6259,-2.9324,-3.3076,-2.8262,-3.6259,-6.5064,-3.6259,-9.9658,-3.816,-3.3076,-9.9658,-2.7274,-3.458,-3.816,-4.035,-3.6259,-6.5064,-9.9658,-3.3076,-3.6259,-4.035,-5.0116,-9.9658,-2.8262,-4.6082,-9.9658,-9.9658,-9.9658,-4.6082,-5.0116,-3.6259,-5.0116
ACSL1,6.2361,5.1031,4.7608,6.8305570172,4.7539,3.5803,4.4945,4.1466,3.6042,4.5928,4.5123,4.0136,5.331,4.9103,4.8131,4.8555,5.6235,3.9356,3.4583,4.7971,4.5976,3.6646,5.5766,4.9626,4.1219,5.14,3.5779,2.4008,5.0627,4.862,4.7247,4.3688,5.6739,4.499,4.8202,4.7038,4.4476,2.93,4.8783,4.6035,3.958,4.2064,5.1922,3.0515,4.613,3.728,4.9388,4.8788,5.468,3.7825,4.7485,5.9079,5.4761,4.8248,5.1966,5.5922,7.2904,7.3444,4.3126,4.1136,3.2737,3.9783,5.1351,5.31,5.2312,4.4777,4.9397,4.5497,5.2713,6.3381,4.7127,5.4323,5.1776,4.4344,5.2415,3.8601,5.1907,4.849,5.5826,3.1129,3.9213,5.0299,4.1883,4.3435,5.8017,5.4738,4.3883,5.0862,4.6177,3.47,3.5449,4.8059,4.1277,5.3965,5.0631,5.5021,5.0764,4.9241,4.6018,5.6118,4.7877,4.2465,4.6871
ACSL3,5.9002,5.753,5.8936,5.99629590332,5.7396,5.3313,5.4111,4.7399,4.841,5.2415,5.764,5.2649,5.4503,5.1668,4.7581,4.6611,5.7634,6.427,4.641,4.497,5.6285,4.9575,5.498,5.5604,4.9996,5.2851,5.8719,5.4313,5.7293,5.5027,4.8238,4.8963,5.5847,4.2472,5.2906,4.5497,4.8915,4.5142,5.5389,5.0041,4.7496,4.2495,4.3499,5.3027,5.4443,5.0479,5.3338,5.6059,4.5772,4.7312,4.5711,5.0717,3.7909,5.1339,5.0597,4.538,6.7606,4.9644,5.2099,5.3241,5.2862,5.6346,5.2388,5.5883,4.8375,5.8296,5.7525,5.0237,4.773,5.3317,4.2381,5.1855,5.2994,5.2296,5.1173,5.0579,4.5934,4.7474,4.222,5.5053,5.2146,4.7819,4.8895,4.1111,4.5261,4.5868,5.7035,5.696,4.6352,4.796,5.374,5.1922,5.2649,5.3872,5.2013,4.6089,5.3049,5.0449,5.5832,4.7055,4.6456,6.3815,5.0605
ACSL4,3.8431,3.5645,4.222,4.31731650031,2.2051,1.7828,3.2752,3.0585,3.8461,4.327,3.7182,3.3521,3.2359,4.2624,2.9544,3.0825,4.0575,3.5287,5.3502,2.876,2.8916,4.391,2.9544,4.0722,3.9204,4.441,5.686,3.002,3.8401,3.6725,3.992,4.4848,3.5911,4.7082,3.0893,3.6793,4.1764,4.1161,4.3484,3.027,3.7291,4.5638,5.0175,3.2236,3.2205,3.6939,4.0445,2.9674,4.6265,3.2929,3.836,3.7313,7.1262,3.0199,2.9765,3.863,4.0584,4.6691,3.5149,3.2826,3.8896,4.7176,3.3478,3.5669,4.0756,3.0127,4.0515,3.8621,3.7982,3.7867,2.8955,3.9892,3.3925,4.5079,3.1458,4.0037,4.6832,3.9626,3.573,3.1442,4.0153,3.5022,3.9204,3.421,4.0662,4.1078,3.6827,4.026,3.4464,3.5424,4.1652,2.9128,2.7784,3.793,4.0136,3.4251,3.3003,4.2654,4.5796,4.2691,4.3653,6.5483,3.9599
ACSL5,2.2603,0.346,3.091,3.76775337984,0.5666,1.6695,2.8641,1.0779,5.3381,3.0056,2.0535,3.5473,4.1907,4.4236,1.3051,2.8877,2.2051,1.9859,3.4277,-0.5332,1.9377,4.2518,0.6517,4.3625,1.4228,4.1772,4.0028,-0.2498,0.8805,1.4065,3.4817,3.7804,3.5621,3.728,1.105,3.3925,2.8158,1.7229,1.9149,2.8661,1.0711,2.4934,2.971,2.6138,2.3592,1.7617,4.7431,4.4236,3.6125,2.5828,3.5559,2.6962,4.8274,0.4761,4.1086,1.4808,2.791,3.4674,1.7185,3.7149,0.4447,0.7579,3.0995,2.9581,2.7721,2.7594,3.1939,0.2642,3.3206,3.2112,1.46,2.5388,2.1345,2.8562,3.8269,2.2842,3.6254,3.4088,0.537,2.3048,4.3723,2.5388,2.3816,1.7532,4.1668,2.9857,2.3019,3.0533,2.1114,1.3397,2.5413,1.334,3.1556,2.7551,3.2496,2.7183,1.7316,2.9394,4.4483,2.1378,3.8818,2.409,2.6208
ACSL6,-5.0116,-5.8986,-4.9135,-4.747449905765,-6.4491,-4.8508,-5.526,-5.8986,-5.399900000000001,-5.48145,-5.6243,-4.838900000000001,-5.87335,-6.506349999999999,-1.4740000000000002,-4.9822,-4.73455,-6.177099999999999,-4.71935,-5.69815,-5.73815,0.0202999999999997,-4.410550000000001,-5.28155,-6.636699999999999,-5.57345,-7.4887,-7.76965,-3.0227,-4.38805,-5.64205,-4.3755500000000005,-3.58535,-2.114,-4.1193,-4.14365,-5.98,-4.372450000000001,-4.5997,-4.982200000000001,-6.14025,-5.29255,-6.039899999999999,-4.66165,-2.3158000000000003,-5.01915,-4.05075,-5.32655,-6.4491,-3.82325,-4.7553,-5.69815,-5.1612,-5.87335,-6.7119,-3.17845,-5.26005,-5.4672,-7.287,-6.79585,-7.76965,-6.30035,-6.25685,-5.849,-3.78115,-3.4828,-5.3383,-7.4887,-5.1078,-2.77075,-6.21585,-2.54205,-4.44055,-6.3466,-5.64205,-6.14025,-3.24075,-3.59685,-6.636699999999999,-5.399900000000001,-5.28155,-4.88775,-3.6951,-6.177099999999999,-1.64575,-6.10525,-5.87335,-2.9761,-3.6259,-7.287,-6.396,-5.73815,-6.7119,-5.849,-2.2686,-5.8986,-4.86905,-2.3328,-4.5997,-4.6663,-3.65285,-5.67895,-4.1193
ACTA2,7.7909,5.0747,6.7749,7.78759452245,8.241,8.0346,7.7731,7.1712,7.2004,7.2279,5.7978,7.3337,6.713,6.3565,8.0493,6.7252,6.2887,7.3927,6.583,6.7671,5.2457,8.2228,4.7523,7.0648,4.6894,7.7601,5.8284,6.3045,6.7675,7.2125,8.6755,5.9946,5.9338,8.0661,8.9179,8.8661,8.1616,5.6485,9.2894,6.48,6.7669,5.8543,6.8613,7.3972,7.9991,7.1467,8.2121,5.6068,7.3584,6.7832,8.1917,7.5948,6.6029,2.7889,6.8797,7.2156,6.2876,7.4789,7.5569,5.3685,6.2196,5.3688,8.9323,7.3558,8.6526,7.6194,7.4743,7.7336,8.6379,7.3311,5.6288,8.4389,5.4858,7.1323,6.4609,7.3415,8.3149,6.5839,6.4443,6.5088,8.3,6.7534,6.1719,6.6588,7.2468,7.6549,7.139,6.9228,6.2263,7.4745,7.9137,6.3698,6.3649,8.2414,7.7843,5.5113,7.9416,7.7399,8.3383,4.3492,9.0566,7.7237,8.5174
ACTB,11.1574,10.6069,11.2475,11.6325533549,11.8997,11.8341,12.3389,10.9365,11.6029,11.6814,11.0037,11.6302,11.6297,11.6558,11.9102,11.3293,10.8735,11.7315,11.0543,11.4995,11.178,11.6577,11.4384,10.9122,10.8413,11.6896,12.0969,11.4788,11.6759,11.4261,11.7526,11.0444,11.3803,11.1527,12.2656,11.5375,11.8586,11.1452,11.8348,11.4602,10.7512,11.0525,10.8456,11.4412,11.4335,11.2647,11.2973,11.6491,11.3432,11.1378,11.3397,11.4129,11.1829,11.9183,11.3542,11.0187,11.3811,11.0236,11.3514,12.4308,10.9304,10.197,11.7573,11.6879,11.9617,11.6583,11.9696,12.1375,11.6246,11.3363,11.2173,12.0506,11.4679,12.5873,11.4229,11.9679,11.5723,12.3986,11.164,11.6448,12.5283,10.8439,10.7142,10.6788,11.4588,10.7943,11.3083,11.6956,11.2186,11.0535,11.9161,11.307,11.6674,11.4634,11.1718,11.2805,10.7531,11.4035,12.1582,10.272,11.8568,10.9937,11.5368
ACTG1,10.451,10.7074,11.1992,10.2104482428,10.75,11.2601,10.9957,11.64,11.4297,10.2421,11.4585,11.4909,11.125,10.7415,11.3606,11.2188,10.7592,11.546,11.2417,10.9032,11.0486,10.9917,11.3781,11.0804,11.9489,10.7411,10.2935,11.7526,11.8365,11.4514,11.1943,10.2818,10.9685,9.6958,11.1842,10.6518,10.801,11.7004,11.4239,10.9759,11.4156,10.3953,10.8451,11.9999,11.4312,11.2231,10.7551,10.7137,10.6896,11.3431,10.7618,10.53,11.3086,10.9567,11.5238,10.8549,10.8421,10.8646,11.9196,11.3036,12.7592,11.4611,10.944,11.8081,11.5945,11.4134,11.555,10.2475,11.082,11.165,11.6587,11.0916,11.0845,10.6511,10.1952,11.1923,10.9214,10.0085,11.8111,10.7733,11.2698,11.1031,11.3557,11.2175,10.5835,10.8832,10.9346,11.257,10.5653,11.2333,11.2695,11.4819,9.9675,11.4252,11.2092,11.143,11.3034,10.9332,10.9085,11.5154,11.4911,11.5206,10.6119
ACVR1,4.3278,5.1664,4.9896,4.64507131755,4.0189,4.402,4.3506,3.4687,3.0358,3.6335,3.506,4.1011,3.7061,4.2571,4.7624,4.8605,4.3278,4.7093,4.0427,5.1098,3.8511,3.9337,4.3162,4.3702,3.5374,4.9407,3.8739,4.9237,5.3625,3.991,4.9098,3.4075,3.7646,3.8973,4.9041,4.2111,4.3869,5.1764,4.6708,4.2457,4.1498,2.9875,2.7205,3.6077,4.637,5.07,3.832,4.3958,4.0242,4.7698,4.0019,3.8461,4.6089,3.6405,2.874,4.6679,4.7587,4.5832,4.7955,4.0696,4.3169,3.6184,5.2649,5.0405,5.2865,3.6972,4.3234,4.991,3.9883,4.4169,5.2342,4.5503,4.2434,3.6589,4.3313,4.1708,3.9459,2.9839,4.1145,4.4236,4.2906,3.9251,3.4778,3.7017,3.4894,4.2033,4.4108,4.3779,3.6771,4.0375,3.9487,4.0799,3.6042,4.696,3.6018,3.9041,3.868,4.0807,3.9079,5.1211,5.4887,3.4237,4.131
